Player,PPR,storage
A.J. Brown*,247.5,247.5
A.J. Green,111.3,111.3
A.J. McCarron,0.8,0.8
AJ Dillon ,40.3,40.3
Aaron Jones*,258.9,258.9
Aaron Rodgers*+,383.3,383.3
Adam Humphries,57.8,57.8
Adam Shaheen,45.0,45.0
Adam Thielen,254.0,254.0
Adam Trautman,38.1,38.1
Adrian Killins,0.0,0.0
Adrian Peterson,124.5,124.5
Albert Okwuegbunam,29.1,29.1
Alec Ingold,29.4,29.4
Alex Armah,7.7,7.7
Alex Bachman,0.0,0.0
Alex Collins,21.1,21.1
Alex Erickson,22.6,22.6
Alex Smith,71.6,71.6
Alexander Mattison,86.9,86.9
Alfred Morris,40.7,40.7
Allen Lazard ,97.8,97.8
Allen Robinson,262.9,262.9
Alshon Jeffery,23.5,23.5
Alvin Kamara*,377.8,377.8
Amari Cooper,236.8,236.8
Ameer Abdullah,30.0,30.0
Andre Roberts*,3.1,3.1
Andrew Beck,0.0,0.0
Andy Dalton,136.9,136.9
Andy Isabella,54.8,54.8
Andy Janovich,3.7,3.7
Anthony Firkser,83.7,83.7
Anthony McFarland Jr.,22.7,22.7
Anthony Miller,108.7,108.7
Anthony Sherman,8.3,8.3
Antonio Brown,117.1,117.1
Antonio Callaway,4.0,4.0
Antonio Gandy-Golden,3.5,3.5
Antonio Gibson ,202.2,202.2
Antonio Williams,21.3,21.3
Antony Auclair,0.0,0.0
Artavis Pierce,9.4,9.4
Ashton Dulin,9.4,9.4
Auden Tate,29.0,29.0
Austin Carr,11.7,11.7
Austin Ekeler,165.3,165.3
Austin Hooper,113.5,113.5
Austin Mack,16.1,16.1
Austin Walter,4.0,4.0
Baker Mayfield,248.6,248.6
Ben DiNucci,7.0,7.0
Ben Ellefson,4.0,4.0
Ben Roethlisberger,267.2,267.2
Bennie Fowler,3.1,3.1
Benny Snell Jr.,74.9,74.9
Blaine Gabbert,15.3,15.3
Blake Bell,22.2,22.2
Blake Jarwin,2.2,2.2
Bo Scarbrough,3.1,3.1
Boston Scott,95.6,95.6
Brandin Cooks,232.0,232.0
Brandon Aiyuk,184.5,184.5
Brandon Allen,49.7,49.7
Brandon Dillon,1.6,1.6
Brandon Powell,29.6,29.6
Brandon Zylstra,12.6,12.6
Braxton Berrios,97.3,97.3
Breshad Perriman,99.1,99.1
Brett Rypien,11.3,11.3
Brian Hill,95.4,95.4
Brian Hoyer,2.0,2.0
Bruce Miller,1.2,1.2
Bryan Edwards,36.3,36.3
Brycen Hopkins,0.0,0.0
Buddy Howell,7.7,7.7
Byron Pringle,41.0,41.0
C.J. Beathard,52.3,52.3
C.J. Board,21.4,21.4
C.J. Ham,25.5,25.5
C.J. Prosise,12.7,12.7
C.J. Uzomah,22.7,22.7
Caleb Wilson,0.0,0.0
Calvin Ridley,281.5,281.5
Cam Akers,101.8,101.8
Cam Newton,261.0,261.0
Cam Sims,86.2,86.2
Cameron Batson,30.0,30.0
Cameron Brate,68.2,68.2
Carlos Hyde,84.9,84.9
Carson Wentz,198.4,198.4
Case Keenum,1.8,1.8
Cedrick Wilson Jr.,51.6,51.6
CeeDee Lamb,217.7,217.7
Cethan Carter,10.3,10.3
Chad Beebe,50.1,50.1
Chad Hansen,46.6,46.6
Chad Henne,23.7,23.7
Chandler Cox,2.9,2.9
Charlie Woerner,6.6,6.6
Chase Claypool,214.9,214.9
Chase Daniel,12.2,12.2
Chase Edmonds,168.0,168.0
Chris Carson,187.8,187.8
Chris Conley,97.1,97.1
Chris Godwin,191.0,191.0
Chris Herndon,73.7,73.7
Chris Hogan,25.8,25.8
Chris Manhertz,11.2,11.2
Chris Moore,0.0,0.0
Chris Myarick,0.0,0.0
Chris Rowland,0.0,0.0
Chris Streveler,7.7,7.7
Chris Thompson,42.6,42.6
Christian Blake,27.1,27.1
Christian Kirk,146.4,146.4
Christian McCaffrey,90.4,90.4
Clark Harris,0.0,0.0
Clyde Edwards-Helaire,176.0,176.0
Cody Hollister,2.2,2.2
Colby Parkinson,3.6,3.6
Cole Beasley,207.5,207.5
Cole Kmet,62.0,62.0
Colin Thompson,7.7,7.7
Collin Johnson,59.2,59.2
Colt McCoy,18.2,18.2
Cooper Kupp,208.7,208.7
Cordarrelle Patterson*+,69.4,69.4
Corey Clement,21.0,21.0
Corey Davis,191.4,191.4
Courtland Sutton,9.6,9.6
Craig Reynolds,1.7,1.7
Cullen Gillaspia,1.6,1.6
Curtis Samuel,212.1,212.1
Cyril Grayson,0.0,0.0
D'Andre Swift,189.8,189.8
D'Ernest Johnson,21.0,21.0
D'Onta Foreman,17.0,17.0
D.J. Foster,1.9,1.9
D.J. Moore,211.5,211.5
D.K. Metcalf*,271.3,271.3
DJ Chark,153.6,153.6
DaeSean Hamilton,62.3,62.3
Dak Prescott,135.6,135.6
Dallas Goedert,116.4,116.4
Dalton Keene,4.6,4.6
Dalton Schultz,146.5,146.5
Dalvin Cook*,337.8,337.8
Damien Harris,91.3,91.3
Damiere Byrd,114.9,114.9
Damion Ratley,10.3,10.3
Dan Arnold,96.8,96.8
Dan Chisena,0.0,0.0
Daniel Brown,5.1,5.1
Daniel Helm,0.0,0.0
Daniel Jones,180.0,180.0
Danny Amendola,106.4,106.4
Dante Pettis,15.6,15.6
Dare Ogunbowale,29.9,29.9
Darius Bradwell,0.0,0.0
Darius Slayton,141.0,141.0
Darnell Mooney,152.1,152.1
Darrel Williams,54.5,54.5
Darrell Daniels,23.2,23.2
Darrell Henderson,130.3,130.3
Darren Fells,76.2,76.2
Darren Waller*,278.6,278.6
Darrius Shepherd ,7.6,7.6
Darrynton Evans,16.1,16.1
Darwin Thompson,33.2,33.2
Daurice Fountain,4.3,4.3
Davante Adams*+,358.4,358.4
David Blough,1.8,1.8
David Johnson,179.5,179.5
David Montgomery,264.8,264.8
David Moore,118.8,118.8
David Njoku,52.3,52.3
Dawson Knox,66.8,66.8
De'Michael Harris,22.5,22.5
DeAndre Carter,-0.2,-0.2
DeAndre Hopkins*,287.8,287.8
DeAndre Washington,17.1,17.1
DeSean Jackson,44.8,44.8
DeVante Parker,166.3,166.3
Deante Burton,0.0,0.0
Dede Westbrook,-0.6,-0.6
DeeJay Dallas,56.9,56.9
Deebo Samuel,80.7,80.7
Demarcus Robinson,107.6,107.6
Demetrius Harris,11.5,11.5
Denzel Mims,60.7,60.7
