Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
A.J. Brown*,TEN,WR,14,12,178,247.5,251.5,212.5,9,28
A.J. Green,CIN,WR,16,14,64,111.3,114.3,87.8,75,N/A
A.J. McCarron,HOU,QB,2,0,1,0.8,0.8,0.8,77,N/A
AJ Dillon ,GNB,RB,11,0,38,40.3,43.3,39.3,76,N/A
Aaron Jones*,GNB,RB,14,14,212,258.9,264.9,235.4,5,13
Aaron Rodgers*+,GNB,QB,16,16,382,383.3,396.3,387.8,2,8
Adam Humphries,TEN,WR,7,1,35,57.8,60.8,46.3,111,N/A
Adam Shaheen,MIA,TE,16,5,33,45.0,48.0,39.0,46,N/A
Adam Thielen,MIN,WR,15,15,180,254.0,257.0,217.0,7,26
Adam Trautman,NOR,TE,15,6,23,38.1,41.1,30.6,59,N/A
Adrian Killins,PHI,RB,1,0,-1,0.0,N/A,-0.5,176,N/A
Adrian Peterson,DET,RB,16,10,113,124.5,130.5,118.5,33,N/A
Albert Okwuegbunam,DEN,TE,4,0,18,29.1,32.1,23.6,63,N/A
Alec Ingold,LVR,RB,16,4,17,29.4,32.4,23.4,100,N/A
Alex Armah,CAR,RB,16,1,3,7.7,7.7,5.2,143,N/A
Alex Bachman,NYG,N/A,1,0,N/A,0.0,N/A,N/A,216,N/A
Alex Collins,SEA,RB,3,1,20,21.1,21.1,20.6,95,N/A
Alex Erickson,CIN,WR,16,2,11,22.6,27.6,16.6,163,N/A
Alex Smith,WAS,QB,8,6,72,71.6,82.6,79.6,37,N/A
Alexander Mattison,MIN,RB,13,2,74,86.9,92.9,80.4,50,N/A
Alfred Morris,NYG,RB,9,0,38,40.7,43.7,39.2,78,N/A
Allen Lazard ,GNB,WR,10,9,65,97.8,100.8,81.3,74,N/A
Allen Robinson,CHI,WR,16,16,161,262.9,265.9,211.9,12,38
Alshon Jeffery,PHI,WR,7,2,18,23.5,26.5,20.5,143,N/A
Alvin Kamara*,NOR,RB,15,10,295,377.8,383.8,336.3,2,2
Amari Cooper,DAL,WR,16,15,145,236.8,239.8,190.8,19,51
Ameer Abdullah,MIN,RB,16,0,22,30.0,30.0,26.0,93,N/A
Andre Roberts*,BUF,WR,15,0,-1,3.1,5.1,1.1,252,N/A
Andrew Beck,DEN,N/A,10,0,N/A,0.0,N/A,N/A,117,N/A
Andy Dalton,DAL,QB,11,9,136,136.9,151.9,144.4,30,N/A
Andy Isabella,ARI,WR,13,2,34,54.8,57.8,44.3,113,N/A
Andy Janovich,CLE,RB,14,3,2,3.7,3.7,2.7,146,N/A
Anthony Firkser,TEN,TE,16,1,45,83.7,86.7,64.2,32,N/A
Anthony McFarland Jr.,PIT,RB,11,0,17,22.7,25.7,19.7,101,N/A
Anthony Miller,CHI,WR,16,6,60,108.7,112.7,84.2,84,N/A
Anthony Sherman,KAN,RB,13,1,7,8.3,8.3,7.8,128,N/A
Antonio Brown,TAM,WR,8,4,72,117.1,120.1,94.6,66,N/A
Antonio Callaway,MIA,WR,5,1,2,4.0,4.0,3.0,200,N/A
Antonio Gandy-Golden,WAS,WR,6,2,3,3.5,3.5,3.0,197,N/A
Antonio Gibson ,WAS,RB,14,10,166,202.2,210.2,184.2,14,37
Antonio Williams,BUF,RB,1,0,20,21.3,21.3,20.8,94,N/A
Antony Auclair,TAM,N/A,8,2,N/A,0.0,N/A,N/A,115,N/A
Artavis Pierce,CHI,RB,5,0,9,9.4,9.4,9.4,121,N/A
Ashton Dulin,IND,WR,13,0,6,9.4,9.4,7.9,177,N/A
Auden Tate,CIN,WR,9,2,15,29.0,32.0,22.0,154,N/A
Austin Carr,NOR,WR,6,0,9,11.7,11.7,10.2,172,N/A
Austin Ekeler,LAC,RB,10,10,111,165.3,171.3,138.3,35,N/A
Austin Hooper,CLE,TE,13,13,68,113.5,116.5,90.5,22,N/A
Austin Mack,NYG,WR,11,1,9,16.1,16.1,12.6,169,N/A
Austin Walter,SFO,RB,4,0,3,4.0,4.0,3.5,142,N/A
Baker Mayfield,CLE,QB,16,16,248,248.6,266.6,256.1,17,N/A
Ben DiNucci,DAL,QB,3,1,7,7.0,9.0,7.0,65,N/A
Ben Ellefson,JAX,TE,7,4,3,4.0,4.0,3.5,98,N/A
Ben Roethlisberger,PIT,QB,15,15,267,267.2,281.2,277.2,14,N/A
Bennie Fowler,NOR,WR,5,0,1,3.1,3.1,2.1,210,N/A
Benny Snell Jr.,PIT,RB,16,3,65,74.9,78.9,69.9,59,N/A
Blaine Gabbert,TAM,QB,4,0,15,15.3,15.3,15.3,53,N/A
Blake Bell,DAL,TE,16,2,11,22.2,25.2,16.7,72,N/A
Blake Jarwin,DAL,TE,1,1,1,2.2,2.2,1.7,105,N/A
Bo Scarbrough,SEA,RB,1,0,3,3.1,3.1,3.1,141,N/A
Boston Scott,PHI,RB,16,4,71,95.6,101.6,83.1,52,N/A
Brandin Cooks,HOU,WR,15,15,151,232.0,235.0,191.5,16,44
Brandon Aiyuk,SFO,WR,12,11,125,184.5,187.5,154.5,33,N/A
Brandon Allen,CIN,QB,5,5,50,49.7,57.7,53.7,43,N/A
Brandon Dillon,MIN,TE,3,0,1,1.6,1.6,1.1,108,N/A
Brandon Powell,ATL,WR,15,1,18,29.6,30.6,23.6,142,N/A
Brandon Zylstra,CAR,WR,16,2,10,12.6,12.6,11.1,167,N/A
Braxton Berrios,NYJ,WR,16,2,60,97.3,100.3,78.8,82,N/A
Breshad Perriman,NYJ,WR,12,12,69,99.1,102.1,84.1,71,N/A
Brett Rypien,DEN,QB,3,1,11,11.3,15.3,15.3,59,N/A
Brian Hill,ATL,RB,16,1,70,95.4,102.4,82.9,53,N/A
Brian Hoyer,NWE,QB,1,1,2,2.0,4.0,3.0,71,N/A
Bruce Miller,JAX,RB,8,5,N/A,1.2,1.2,0.7,162,N/A
Bryan Edwards,LVR,WR,12,3,25,36.3,39.3,30.8,129,N/A
Brycen Hopkins,LAR,N/A,5,0,N/A,0.0,N/A,N/A,130,N/A
Buddy Howell,HOU,RB,14,0,7,7.7,7.7,7.2,130,N/A
Byron Pringle,KAN,WR,13,3,28,41.0,44.0,34.5,122,N/A
C.J. Beathard,SFO,QB,6,2,52,52.3,58.3,52.3,42,N/A
C.J. Board,NYG,WR,14,4,10,21.4,24.4,15.9,166,N/A
C.J. Ham,MIN,RB,15,11,18,25.5,25.5,21.5,99,N/A
C.J. Prosise,HOU,RB,10,0,8,12.7,13.7,10.2,125,N/A
C.J. Uzomah,CIN,TE,2,2,15,22.7,22.7,18.7,69,N/A
Caleb Wilson,PHI,N/A,5,0,N/A,0.0,N/A,N/A,141,N/A
Calvin Ridley,ATL,WR,15,15,192,281.5,285.5,236.5,4,20
Cam Akers,LAR,RB,13,5,91,101.8,108.8,96.3,42,N/A
Cam Newton,NWE,QB,15,15,259,261.0,278.0,270.0,16,N/A
Cam Sims,WAS,WR,16,10,54,86.2,89.2,70.2,91,N/A
Cameron Batson,TEN,WR,12,1,18,30.0,33.0,24.0,140,N/A
Cameron Brate,TAM,TE,16,1,40,68.2,71.2,54.2,38,N/A
Carlos Hyde,SEA,RB,10,1,69,84.9,87.9,76.9,54,N/A
Carson Wentz,PHI,QB,12,12,198,198.4,223.4,213.4,22,N/A
Case Keenum,CLE,QB,2,0,2,1.8,1.8,1.8,73,N/A
Cedrick Wilson Jr.,DAL,WR,16,0,35,51.6,54.6,43.1,112,N/A
CeeDee Lamb,DAL,WR,16,14,144,217.7,221.7,180.7,20,53
Cethan Carter,CIN,TE,15,5,5,10.3,10.3,7.8,85,N/A
Chad Beebe,MIN,WR,14,0,30,50.1,54.1,40.1,118,N/A
Chad Hansen,HOU,WR,5,2,30,46.6,49.6,38.1,119,N/A
Chad Henne,KAN,QB,3,1,24,23.7,23.7,23.7,48,N/A
Chandler Cox,MIA,RB,8,3,1,2.9,2.9,1.9,152,N/A
Charlie Woerner,SFO,TE,14,0,4,6.6,6.6,5.1,94,N/A
Chase Claypool,PIT,WR,16,6,153,214.9,218.9,183.9,14,42
Chase Daniel,DET,QB,4,0,12,12.2,14.2,14.2,57,N/A
Chase Edmonds,ARI,RB,16,2,115,168.0,174.0,141.5,30,N/A
Chris Carson,SEA,RB,12,12,151,187.8,193.8,169.3,16,47
Chris Conley,JAX,WR,15,4,57,97.1,101.1,77.1,88,N/A
Chris Godwin,TAM,WR,12,12,126,191.0,194.0,158.5,30,76
Chris Herndon,NYJ,TE,16,13,43,73.7,78.7,58.2,34,N/A
Chris Hogan,NYJ,WR,5,4,12,25.8,28.8,18.8,160,N/A
Chris Manhertz,CAR,TE,16,12,5,11.2,11.2,8.2,87,N/A
Chris Moore,BAL,N/A,3,0,N/A,0.0,N/A,N/A,235,N/A
Chris Myarick,MIA,N/A,3,0,N/A,0.0,N/A,N/A,132,N/A
Chris Rowland,ATL,N/A,2,0,N/A,0.0,N/A,N/A,241,N/A
Chris Streveler,ARI,QB,5,0,8,7.7,8.7,8.7,64,N/A
Chris Thompson,JAX,RB,8,0,23,42.6,45.6,32.6,92,N/A
Christian Blake,ATL,WR,16,0,14,27.1,30.1,20.6,155,N/A
Christian Kirk,ARI,WR,14,10,98,146.4,149.4,122.4,51,N/A
Christian McCaffrey,CAR,RB,3,3,73,90.4,96.4,81.9,51,N/A
Clark Harris,CIN,N/A,16,0,N/A,0.0,N/A,N/A,126,N/A
Clyde Edwards-Helaire,KAN,RB,13,13,140,176.0,182.0,158.0,22,65
Cody Hollister,TEN,WR,2,0,1,2.2,2.2,1.7,209,N/A
Colby Parkinson,SEA,TE,6,0,2,3.6,3.6,2.6,101,N/A
Cole Beasley,BUF,WR,15,10,126,207.5,210.5,166.5,31,N/A
Cole Kmet,CHI,TE,16,9,34,62.0,66.0,48.0,43,N/A
Colin Thompson,CAR,TE,15,4,7,7.7,7.7,7.2,81,N/A
Collin Johnson,JAX,WR,14,0,41,59.2,62.2,50.2,106,N/A
Colt McCoy,NYG,QB,4,2,18,18.2,23.2,19.2,52,N/A
Cooper Kupp,LAR,WR,15,12,117,208.7,212.7,162.7,34,N/A
Cordarrelle Patterson*+,CHI,WR,16,3,48,69.4,75.4,58.9,97,N/A
Corey Clement,PHI,RB,15,0,16,21.0,21.0,18.5,103,N/A
Corey Davis,TEN,WR,14,12,126,191.4,195.4,158.9,29,74
Courtland Sutton,DEN,WR,1,1,7,9.6,9.6,8.1,176,N/A
Craig Reynolds,JAX,RB,2,0,1,1.7,1.7,1.2,156,N/A
Cullen Gillaspia,HOU,RB,7,0,1,1.6,1.6,1.1,157,N/A
Curtis Samuel,CAR,WR,15,5,135,212.1,218.1,173.6,25,66
