Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
Cyril Grayson,TAM,N/A,3,0,N/A,0.0,N/A,N/A,229,N/A
D'Andre Swift,DET,RB,13,4,144,189.8,197.8,166.8,20,59
D'Ernest Johnson,CLE,RB,16,0,18,21.0,24.0,19.5,98,N/A
D'Onta Foreman,TEN,RB,6,0,16,17.0,17.0,16.5,104,N/A
D.J. Foster,ARI,RB,10,0,1,1.9,1.9,1.4,153,N/A
D.J. Moore,CAR,WR,15,14,146,211.5,214.5,178.5,17,49
D.K. Metcalf*,SEA,WR,16,16,188,271.3,275.3,229.8,5,21
DJ Chark,JAX,WR,13,12,101,153.6,156.6,127.1,48,N/A
DaeSean Hamilton,DEN,WR,16,2,39,62.3,66.3,50.8,108,N/A
Dak Prescott,DAL,QB,5,5,135,135.6,145.6,139.1,32,N/A
Dallas Goedert,PHI,TE,11,9,70,116.4,119.4,93.4,20,N/A
Dalton Keene,NWE,TE,6,0,2,4.6,4.6,3.1,100,N/A
Dalton Schultz,DAL,TE,16,14,84,146.5,150.5,115.0,17,N/A
Dalvin Cook*,MIN,RB,14,14,294,337.8,346.8,315.8,3,3
Damien Harris,NWE,RB,10,10,86,91.3,94.3,88.8,44,N/A
Damiere Byrd,NWE,WR,16,14,68,114.9,117.9,91.4,73,N/A
Damion Ratley,NYG,WR,5,0,6,10.3,10.3,8.3,179,N/A
Dan Arnold,ARI,TE,16,5,66,96.8,100.8,81.3,23,N/A
Dan Chisena,MIN,N/A,14,0,N/A,0.0,N/A,N/A,224,N/A
Daniel Brown,NYJ,WR,16,1,3,5.1,5.1,4.1,193,N/A
Daniel Helm,SFO,N/A,5,0,N/A,0.0,N/A,N/A,127,N/A
Daniel Jones,NYG,QB,14,14,180,180.0,202.0,190.0,24,N/A
Danny Amendola,DET,WR,14,5,60,106.4,109.4,83.4,81,N/A
Dante Pettis,2TM,WR,7,1,12,15.6,16.6,13.6,161,N/A
Dare Ogunbowale,JAX,RB,14,2,20,29.9,32.9,24.9,96,N/A
Darius Bradwell,LAC,N/A,2,0,N/A,0.0,N/A,N/A,165,N/A
Darius Slayton,NYG,WR,16,15,91,141.0,145.0,116.0,56,N/A
Darnell Mooney,CHI,WR,16,9,91,152.1,155.1,121.6,55,N/A
Darrel Williams,KAN,RB,16,0,37,54.5,60.5,45.5,79,N/A
Darrell Daniels,ARI,TE,12,8,15,23.2,23.2,19.2,68,N/A
Darrell Henderson,LAR,RB,15,11,114,130.3,136.3,122.3,31,N/A
Darren Fells,HOU,TE,16,14,55,76.2,79.2,65.7,25,N/A
Darren Waller*,LVR,TE,16,15,172,278.6,283.6,225.1,2,14
Darrius Shepherd ,GNB,WR,8,0,3,7.6,8.6,5.1,196,N/A
Darrynton Evans,TEN,RB,5,0,14,16.1,16.1,15.1,110,N/A
Darwin Thompson,KAN,RB,14,1,26,33.2,34.2,29.7,87,N/A
Daurice Fountain,IND,WR,5,0,2,4.3,4.3,3.3,198,N/A
Davante Adams*+,GNB,WR,14,14,243,358.4,362.4,300.9,1,4
David Blough,DET,QB,1,0,2,1.8,2.8,2.8,74,N/A
David Johnson,HOU,RB,12,12,147,179.5,186.5,163.0,19,55
David Montgomery,CHI,RB,15,14,211,264.8,271.8,237.8,6,15
David Moore,SEA,WR,16,6,84,118.8,121.8,101.3,59,N/A
David Njoku,CLE,TE,13,5,33,52.3,55.3,42.8,45,N/A
Dawson Knox,BUF,TE,12,7,43,66.8,71.8,54.8,33,N/A
De'Michael Harris,IND,WR,7,0,13,22.5,22.5,17.5,158,N/A
DeAndre Carter,2TM,WR,13,0,-1,-0.2,0.8,-0.7,253,N/A
DeAndre Hopkins*,ARI,WR,16,16,173,287.8,292.8,230.3,10,32
DeAndre Washington,2TM,RB,4,1,12,17.1,17.1,14.6,114,N/A
DeSean Jackson,PHI,WR,5,5,31,44.8,47.8,37.8,116,N/A
DeVante Parker,MIA,WR,14,11,103,166.3,169.3,134.8,46,N/A
Deante Burton,DAL,N/A,4,0,N/A,0.0,N/A,N/A,221,N/A
Dede Westbrook,JAX,WR,2,0,-2,-0.6,0.4,-1.1,254,N/A
DeeJay Dallas,SEA,RB,12,2,40,56.9,62.9,48.4,75,N/A
Deebo Samuel,SFO,WR,7,5,48,80.7,83.7,64.2,98,N/A
Demarcus Robinson,KAN,WR,16,9,63,107.6,111.6,85.1,78,N/A
Demetrius Harris,CHI,TE,15,5,5,11.5,11.5,8.0,89,N/A
Denzel Mims,NYJ,WR,9,8,38,60.7,63.7,49.2,109,N/A
Deon Cain,PIT,N/A,2,0,N/A,0.0,N/A,N/A,223,N/A
Deon Yelder,KAN,TE,14,1,4,10.6,10.6,7.1,95,N/A
Deontay Burnett,PHI,WR,2,0,2,4.9,4.9,3.4,201,N/A
Deonte Harris,NOR,WR,9,2,28,47.7,51.7,37.7,125,N/A
Derek Carr,LVR,QB,16,16,272,272.1,295.1,281.1,13,N/A
Derek Carrier,LVR,TE,16,0,1,2.4,2.4,1.9,103,N/A
Derek Watt,PIT,N/A,12,0,N/A,0.0,N/A,N/A,2,N/A
Derrick Henry *+,TEN,RB,16,16,314,333.1,341.1,323.6,1,1
Derrick Willies,CLE,N/A,1,0,N/A,0.0,N/A,N/A,249,N/A
Deshaun Watson*,HOU,QB,16,16,369,369.3,385.3,376.3,5,11
Devin Asiasi,NWE,TE,9,3,10,11.9,11.9,10.9,77,N/A
Devin Duvernay,BAL,WR,16,3,33,53.1,56.1,43.1,115,N/A
Devin Singletary,BUF,RB,16,16,106,143.6,150.6,124.6,37,N/A
Devine Ozigbo,JAX,RB,8,0,4,13.3,13.3,8.8,137,N/A
Devonta Freeman,NYG,RB,5,4,29,36.0,39.0,32.5,85,N/A
Devontae Booker,LVR,RB,16,1,69,85.7,88.7,77.2,55,N/A
Dexter Williams,GNB,RB,3,0,1,0.8,0.8,0.8,155,N/A
Dez Bryant,BAL,WR,6,0,17,22.7,22.7,19.7,147,N/A
Dezmon Patmon,IND,N/A,1,0,N/A,0.0,N/A,N/A,239,N/A
Dion Lewis,NYG,RB,16,0,38,57.2,65.2,47.7,77,N/A
Diontae Johnson,PIT,WR,15,13,134,221.8,225.8,177.8,26,69
Diontae Spencer,DEN,WR,11,0,11,13.5,13.5,12.0,165,N/A
Dominique Dafney,GNB,TE,5,2,9,10.6,10.6,9.6,79,N/A
Donald Parham,LAC,TE,13,5,34,43.9,46.9,38.9,44,N/A
Donovan Peoples-Jones,CLE,WR,12,2,44,58.4,61.4,51.4,102,N/A
Donte Moncrief,NWE,WR,6,0,2,2.9,2.9,2.4,203,N/A
Dontrell Hilliard,2TM,RB,7,0,5,6.0,6.0,5.5,134,N/A
Dontrelle Inman,WAS,WR,10,2,28,46.3,49.3,37.3,121,N/A
Drew Brees,NOR,QB,12,12,209,209.5,220.5,215.5,21,N/A
Drew Lock,DEN,QB,13,13,181,181.3,205.3,196.3,23,N/A
Drew Sample,CIN,TE,16,13,39,78.9,82.9,58.9,39,N/A
Duke Johnson,HOU,RB,11,5,56,84.4,92.4,70.4,65,N/A
Duke Williams,BUF,N/A,1,0,N/A,0.0,N/A,N/A,250,N/A
Durham Smythe,MIA,TE,15,13,33,58.8,61.8,45.8,47,N/A
Dwayne Harris,CHI,N/A,3,0,-2,-2.0,-1.0,-2.0,255,N/A
Dwayne Haskins,WAS,QB,7,6,68,68.2,81.2,75.2,38,N/A
Dwayne Washington,NOR,RB,11,0,2,1.5,1.5,1.5,149,N/A
Easton Stick,LAC,QB,1,0,N/A,0.0,N/A,N/A,79,N/A
Elijhaa Penny,NYG,RB,14,0,4,5.5,5.5,4.5,139,N/A
Emmanuel Sanders,NOR,WR,14,5,104,164.8,167.8,134.3,45,N/A
Equanimeous St. Brown,GNB,WR,12,1,18,25.4,28.4,21.9,139,N/A
Eric Ebron,PIT,TE,15,9,86,141.8,145.8,113.8,14,N/A
Eric Saubert,JAX,TE,8,4,2,4.6,4.6,3.1,102,N/A
Eric Tomlinson,2TM,N/A,7,2,N/A,0.0,N/A,N/A,139,N/A
Evan Baylis,ARI,N/A,5,1,N/A,0.0,N/A,N/A,116,N/A
Evan Engram*,NYG,TE,16,14,78,141.0,145.0,109.5,18,N/A
Ezekiel Elliott,DAL,RB,15,15,172,223.7,234.7,197.7,11,33
Farrod Green,IND,N/A,1,0,N/A,0.0,N/A,N/A,124,N/A
Foster Moreau,LVR,TE,16,2,26,33.0,36.0,29.5,55,N/A
Frank Gore,NYJ,RB,15,14,84,100.2,104.2,92.2,46,N/A
Fred Brown,DEN,N/A,1,0,N/A,0.0,N/A,N/A,219,N/A
Freddie Swain,SEA,WR,16,1,28,40.9,43.9,34.4,124,N/A
Gabe Nabers,LAC,RB,16,5,15,20.2,20.2,17.7,106,N/A
Gabriel Davis,BUF,WR,16,11,102,136.9,139.9,119.4,47,N/A
Gardner Minshew II,JAX,QB,9,8,160,160.7,175.7,165.2,26,N/A
Garrett Gilbert,DAL,QB,1,1,15,14.5,15.5,15.5,54,N/A
Garrett Griffin,NOR,N/A,4,3,N/A,0.0,N/A,N/A,125,N/A
Gehrig Dieter,KAN,WR,4,0,1,2.0,2.0,1.5,212,N/A
Geno Smith,SEA,QB,1,0,1,1.1,1.1,1.1,76,N/A
Geoff Swaim,TEN,TE,10,8,14,23.3,23.3,18.8,70,N/A
George Kittle,SFO,TE,8,8,77,125.1,128.1,101.1,19,N/A
Gerald Everett,LAR,TE,16,7,52,92.9,96.9,72.4,26,N/A
Giovani Bernard,CIN,RB,16,10,111,158.1,165.1,134.6,36,N/A
Golden Tate,NYG,WR,12,4,52,86.5,89.5,69.0,93,N/A
Greg Olsen,SEA,TE,11,8,30,53.9,56.9,41.9,50,N/A
Greg Ward,PHI,WR,16,10,80,133.1,136.1,106.6,62,N/A
Gunner Olszewski+,NWE,WR,13,2,21,25.5,25.5,23.0,134,N/A
Gus Edwards,BAL,RB,16,6,119,128.2,135.2,123.7,28,N/A
Hakeem Butler,PHI,N/A,2,0,N/A,0.0,N/A,N/A,222,N/A
Hale Hentges,MIN,N/A,1,0,N/A,0.0,N/A,N/A,128,N/A
Harrison Bryant,CLE,TE,15,9,38,61.8,66.8,49.8,40,N/A
Hayden Hurst,ATL,TE,16,9,93,149.1,152.1,121.1,11,72
Henry Ruggs III,LVR,WR,13,12,58,84.1,89.1,71.1,87,N/A
Hunter Bryant,DET,TE,5,0,4,5.4,5.4,4.9,90,N/A
Hunter Henry,LAC,TE,14,14,85,145.3,148.3,115.3,15,N/A
Hunter Renfrow,LVR,WR,16,6,76,131.6,135.6,103.6,64,N/A
Ian Thomas,CAR,TE,16,8,21,40.5,43.5,30.5,61,N/A
Irv Smith Jr.,MIN,TE,13,7,69,98.5,101.5,83.5,21,N/A
Isaac Nauta,DET,TE,7,0,N/A,1.3,1.3,0.8,113,N/A
Isaiah Coulter,HOU,N/A,1,0,N/A,0.0,N/A,N/A,226,N/A
Isaiah Ford,MIA,WR,10,1,28,55.6,58.6,41.6,126,N/A
Isaiah McKenzie,BUF,WR,16,7,70,99.6,102.6,84.6,67,N/A
Isaiah Wright,WAS,WR,14,6,19,46.3,50.3,32.8,136,N/A
Isaiah Zuber,NWE,WR,4,0,5,7.0,7.0,6.0,186,N/A
Ito Smith,ATL,RB,14,0,40,57.3,60.3,48.8,74,N/A
J.D. McKissic,WAS,RB,16,7,111,191.4,198.4,151.4,34,N/A
J.J. Taylor,NWE,RB,6,0,11,12.4,15.4,11.9,118,N/A
J.K. Dobbins,BAL,RB,15,1,151,168.5,174.5,159.5,17,48
J.P. Holtz,CHI,N/A,16,1,N/A,0.0,N/A,N/A,129,N/A
JJ Arcega-Whiteside,PHI,WR,8,0,17,20.5,20.5,18.5,150,N/A
Ja'Marcus Bradley,CLE,WR,3,1,6,11.0,11.0,8.5,180,N/A
Jace Sternberger,GNB,TE,12,0,17,29.4,32.4,23.4,65,N/A
Jack Doyle,IND,TE,14,12,41,64.1,68.1,52.6,36,N/A
Jacob Hollister,SEA,TE,16,5,41,65.9,68.9,53.4,37,N/A
Jacoby Brissett,IND,QB,11,0,21,20.6,20.6,20.6,49,N/A
Jaeden Graham,ATL,TE,16,0,3,5.5,5.5,4.0,99,N/A
Jake Bargas,MIN,N/A,1,0,N/A,0.0,N/A,N/A,163,N/A
Jake Butt,DEN,TE,5,1,1,2.5,2.5,1.5,111,N/A
Jake Kumerow,BUF,WR,6,0,8,9.2,9.2,8.7,174,N/A
Jake Luton,JAX,QB,3,3,28,28.3,37.3,34.3,46,N/A
Jakeem Grant,MIA,WR,14,4,51,87.3,90.3,69.3,94,N/A
Jakob Johnson,NWE,RB,16,11,10,17.5,17.5,13.5,119,N/A
Jakobi Meyers,NWE,WR,14,9,84,142.5,146.5,113.0,60,N/A
Jaleel Scott,NYJ,WR,1,1,2,2.6,2.6,2.1,205,N/A
Jalen Guyton,LAC,WR,16,9,69,97.1,100.1,83.1,70,N/A
Jalen Hurts,PHI,QB,15,4,108,109.1,121.1,112.6,35,N/A
Jalen Reagor,PHI,WR,11,11,56,87.2,90.2,71.7,90,N/A
Jalen Richard,LVR,RB,13,0,32,51.1,57.1,41.6,81,N/A
Jamaal Williams,GNB,RB,14,3,96,127.1,133.1,111.6,38,N/A
Jamal Agnew,DET,WR,14,2,16,29.2,30.2,22.7,151,N/A
Jameis Winston,NOR,QB,4,0,2,2.4,2.4,2.4,69,N/A
James Conner,PIT,RB,13,11,130,164.6,170.6,147.1,25,N/A
James O'Shaughnessy,JAX,TE,15,13,26,54.2,57.2,40.2,54,N/A
James Proche,BAL,WR,14,0,1,2.4,2.4,1.9,206,N/A
James Robinson,JAX,RB,14,14,201,250.4,257.4,225.9,7,18
James Washington,PIT,WR,16,7,69,99.2,102.2,84.2,69,N/A
James White,NWE,RB,14,0,68,116.6,122.6,92.1,57,N/A
Jamison Crowder,NYJ,WR,12,7,113,172.0,175.0,142.5,38,N/A
Jamycal Hasty,SFO,RB,8,0,24,31.1,34.1,27.6,90,N/A
Jared Cook,NOR,TE,15,5,90,127.4,131.4,108.9,12,N/A
Jared Goff,LAR,QB,15,15,240,240.0,260.0,253.0,19,N/A
Jarrett Stidham,NWE,QB,5,0,13,12.9,15.9,15.9,55,N/A
Jarvis Landry,CLE,WR,15,14,116,188.0,191.0,152.0,35,N/A
Jason Croom,PHI,TE,4,0,6,7.3,7.3,6.8,82,N/A
Jason Huntley,PHI,RB,5,0,2,2.9,2.9,2.4,145,N/A
Jason Moore,LAC,N/A,2,0,N/A,0.0,N/A,N/A,236,N/A
Jason Witten,LVR,TE,16,7,19,31.9,31.9,25.4,62,N/A
Javon Leake,WAS,N/A,1,0,N/A,0.0,N/A,N/A,172,N/A
Javon Wims,CHI,WR,13,1,11,17.0,17.0,14.0,162,N/A
Jaydon Mickens,TAM,WR,10,0,6,12.8,12.8,9.3,182,N/A
Jaylen Samuels,PIT,RB,14,1,7,16.4,16.4,11.9,127,N/A
Jeff Badet,WAS,N/A,3,0,N/A,0.0,N/A,N/A,217,N/A
Jeff Driskel,DEN,QB,3,1,30,30.1,35.1,32.1,45,N/A
Jeff Smith,NYJ,WR,12,4,17,33.7,36.7,25.2,148,N/A
Jeff Wilson,SFO,RB,12,3,129,142.3,150.3,135.8,26,N/A
Jeremy Cox,DEN,N/A,7,1,N/A,0.0,N/A,N/A,168,N/A
Jeremy McNichols,TEN,RB,16,0,32,43.9,46.9,37.9,82,N/A
Jeremy Sprinkle,WAS,TE,16,6,1,1.6,1.6,1.1,110,N/A
Jerick McKinnon,SFO,RB,16,4,93,126.2,132.2,109.7,40,N/A
Jerry Jeudy,DEN,WR,16,14,106,157.6,160.6,131.6,43,N/A
Jesse James,DET,TE,16,7,25,38.9,41.9,31.9,57,N/A
Jimmy Garoppolo,SFO,QB,6,6,64,64.3,72.3,69.3,39,N/A
Jimmy Graham,CHI,TE,16,15,94,143.6,146.6,118.6,10,70
Joe Burrow,CIN,QB,10,10,174,173.7,188.7,178.7,25,N/A
Joe Flacco,NYJ,QB,5,4,55,54.8,60.8,57.8,41,N/A
Joe Mixon,CIN,RB,6,6,79,99.6,106.6,89.1,49,N/A
Joe Reed,LAC,WR,11,0,9,8.9,8.9,8.9,170,N/A
Joe Webb,NYG,N/A,2,0,N/A,0.0,N/A,N/A,246,N/A
John Brown,BUF,WR,9,8,64,96.8,99.8,80.3,77,N/A
John Hightower,PHI,WR,13,4,19,28.8,31.8,23.8,137,N/A
John Lovett,GNB,TE,8,0,1,0.6,0.6,0.6,109,N/A
John Ross,CIN,WR,3,1,2,3.7,3.7,2.7,204,N/A
John Wolford,LAR,QB,1,1,13,12.8,13.8,13.8,56,N/A
Johnny Holton,NYG,N/A,1,0,N/A,0.0,N/A,N/A,231,N/A
Johnny Mundt,LAR,TE,16,1,5,9.3,9.3,7.3,86,N/A
Johnny Stanton,CLE,N/A,1,0,N/A,0.0,N/A,N/A,1,77
Jojo Natson,CLE,WR,3,0,N/A,0.3,0.3,0.3,214,N/A
Jonathan Taylor,IND,RB,15,13,217,252.8,259.8,234.8,4,12
Jonathan Ward,ARI,RB,14,0,7,8.1,8.1,7.6,129,N/A
