Player,Consistency,Average,Median,Team,Position,Games Played
A.J. Brown,3.873,13.5688,0.0,TEN,WR,16
A.J. McCarron,1.0,8.45,0.0,HOU,QB,2
Aaron Jones,3.873,19.675,0.0,GNB,RB,16
Aaron Rodgers*,3.873,17.4,0.0,GNB,QB,16
Adam Humphries,3.3166,7.2083,0.0,TEN,WR,12
Adam Shaheen,2.6458,2.05,0.0,CHI,RB,8
Adam Thielen,3.0,11.44,0.0,MIN,WR,10
Adrian Peterson,3.7417,9.8,0.0,WAS,RB,15
Albert Wilson,3.4641,6.8769,0.0,MIA,WR,13
Alec Ingold,3.873,1.1312,0.0,OAK,RB,16
Alex Armah,3.873,0.6062,0.0,CAR,RB,16
Alex Ellis,,0.0,0.0,PHI,,3
Alex Erickson,3.873,6.0125,0.0,CIN,WR,16
Alex Tanney,,0.0,0.0,NYG,QB,1
Alexander Hollins,2.0,1.32,0.0,MIN,WR,5
Alexander Mattison,3.4641,5.2615,0.0,MIN,RB,13
Alfred Morris,0.0,0.4,0.0,ARI,RB,1
Allen Hurns,3.6056,5.9714,0.0,MIA,WR,14
Allen Lazard ,3.873,6.425,0.0,GNB,WR,16
Allen Robinson,3.873,15.9312,0.0,CHI,WR,16
Alshon Jeffery,3.0,12.22,0.0,PHI,WR,10
Alvin Kamara*,3.6056,17.75,0.0,NOR,RB,14
Amari Cooper*,3.873,15.4062,0.0,DAL,WR,16
Ameer Abdullah,3.873,2.4562,0.0,MIN,RB,16
Andre Patton,3.4641,0.8923,0.0,LAC,WR,13
Andre Roberts*,3.4641,0.4385,0.0,BUF,WR,13
Andrew Beck,3.873,1.5312,0.0,DEN,TE,16
Andy Dalton,3.4641,15.6692,0.0,CIN,QB,13
Andy Isabella,3.7417,2.36,0.0,ARI,WR,15
Andy Janovich,2.4495,2.1857,0.0,DEN,RB,7
Anthony Firkser,3.7417,2.6933,0.0,TEN,TE,15
Anthony Miller,3.873,7.9688,0.0,CHI,WR,16
Anthony Sherman,3.873,0.3188,0.0,KAN,RB,16
Antonio Brown,0.0,16.1,0.0,NWE,WR,1
Antonio Callaway,1.7321,4.225,0.0,CLE,WR,4
Antony Auclair,2.6458,0.2625,0.0,TAM,TE,8
Ashton Dulin,3.4641,0.2846,0.0,IND,WR,13
Auden Tate,3.3166,8.4583,0.0,CIN,WR,12
Austin Carr,2.2361,0.3167,0.0,NOR,WR,6
Austin Ekeler,3.873,19.3125,0.0,LAC,RB,16
Austin Hooper*,3.4641,14.7462,0.0,ATL,TE,13
Austin Walter,,0.0,0.0,NYG,,1
Baker Mayfield,3.873,14.325,0.0,CLE,QB,16
Ben Braunecker,3.1623,1.6273,0.0,CHI,TE,11
Ben Koyack,3.1623,0.1727,0.0,JAX,TE,11
Ben Roethlisberger,1.0,6.35,0.0,PIT,QB,2
Ben Watson,3.0,3.43,0.0,NWE,TE,10
Bennie Fowler,2.6458,5.7875,0.0,NYG,WR,8
Benny Snell Jr.,3.4641,4.4538,0.0,PIT,RB,13
Bilal Powell,3.4641,2.5538,0.0,NYJ,RB,13
Blake Bell,3.7417,0.98,0.0,KAN,TE,15
Blake Bortles,-1.4142,-0.2667,0.0,LAR,QB,3
Blake Jarwin,3.873,5.3438,0.0,DAL,TE,16
Bo Scarbrough,2.2361,7.2,0.0,DET,RB,6
Bobo Wilson,2.2361,0.75,0.0,TAM,WR,6
Boston Scott,3.1623,8.8091,0.0,PHI,RB,11
Brandin Cooks,3.6056,8.3929,0.0,LAR,WR,14
Brandon Allen,1.4142,10.8333,0.0,DEN,QB,3
Brandon Bolden,3.7417,3.3933,0.0,NWE,RB,15
Brandon Dillon,,0.0,0.0,MIN,,1
Brandon Zylstra,2.6458,2.325,0.0,CAR,WR,8
Braxton Berrios,3.873,0.9688,0.0,NYJ,WR,16
Breshad Perriman,3.6056,9.8643,0.0,TAM,WR,14
Brett Hundley,1.4142,2.0333,0.0,ARI,QB,3
Brian Hill,3.3166,5.6,0.0,ATL,RB,12
Brian Hoyer,1.7321,5.275,0.0,IND,QB,4
Buddy Howell,3.873,0.0625,0.0,HOU,RB,16
Byron Pringle,3.873,2.1875,0.0,KAN,WR,16
C.J. Anderson,1.0,2.15,0.0,DET,RB,2
C.J. Board,1.7321,1.275,0.0,JAX,WR,4
C.J. Ham*,3.873,2.35,0.0,MIN,RB,16
C.J. Prosise,2.8284,3.2,0.0,SEA,RB,9
C.J. Uzomah,3.873,3.95,0.0,CIN,TE,16
Calvin Ridley,3.4641,15.1538,0.0,ATL,WR,13
Cam Newton,1.0,8.35,0.0,CAR,QB,2
Cam Sims,2.4495,0.6714,0.0,WAS,WR,7
Cameron Brate,3.873,5.6938,0.0,TAM,TE,16
Carlos Hyde,3.873,9.575,0.0,HOU,RB,16
Carson Meier,,0.0,0.0,ATL,,1
Carson Wentz,3.873,17.2438,0.0,PHI,QB,16
Case Keenum,3.0,10.35,0.0,WAS,QB,10
Cedrick Wilson Jr.,2.2361,1.6,0.0,DAL,WR,6
Cethan Carter,3.7417,0.62,0.0,CIN,TE,15
Chad Beebe,1.4142,3.0,0.0,MIN,WR,3
Chad Williams,,0.0,0.0,IND,,1
Chandler Cox,,0.0,0.0,MIA,,13
Charles Clay,3.7417,3.18,0.0,ARI,TE,15
Charles Jones,1.7321,0.375,0.0,JAX,TE,4
Chase Daniel,1.4142,8.6667,0.0,CHI,QB,3
Chase Edmonds,3.4641,6.3692,0.0,ARI,RB,13
Chester Rogers,3.3166,3.8083,0.0,IND,WR,12
Chris Carson,3.7417,15.5067,0.0,SEA,RB,15
Chris Conley,3.873,9.7812,0.0,JAX,WR,16
Chris Godwin*,3.6056,19.7214,0.0,TAM,WR,14
Chris Herndon,0.0,1.7,0.0,NYJ,TE,1
Chris Hogan,2.4495,2.1,0.0,CAR,WR,7
Chris Lacy,2.4495,1.2857,0.0,DET,WR,7
Chris Manhertz,3.7417,0.14,0.0,CAR,TE,15
Chris Moore,3.6056,0.3643,0.0,BAL,WR,14
Chris Thompson,3.1623,8.5091,0.0,WAS,RB,11
Christian Blake,2.8284,2.2333,0.0,ATL,WR,9
Christian Kirk,3.4641,12.9385,0.0,ARI,WR,13
Christian McCaffrey*+,3.873,29.45,0.0,CAR,RB,16
Clark Harris,,0.0,0.0,CIN,,16
Clive Walford,2.4495,1.4429,0.0,MIA,TE,7
Codey McElroy,0.0,4.0,0.0,TAM,WR,1
Cody Core,3.873,0.3625,0.0,NYG,WR,16
Cody Hollister,2.0,0.66,0.0,TEN,WR,5
Cody Latimer,3.7417,4.4,0.0,NYG,WR,15
Cole Beasley,3.7417,12.32,0.0,BUF,WR,15
Colt McCoy,0.0,4.3,0.0,WAS,QB,1
Cooper Kupp,3.873,16.9062,0.0,LAR,WR,16
Cooper Rush,,0.0,0.0,DAL,,2
Cordarrelle Patterson*+,3.873,2.225,0.0,CHI,WR,16
Corey Clement,-1.7321,-1.0,0.0,PHI,,4
Corey Davis,3.7417,7.6733,0.0,TEN,WR,15
Courtland Sutton*,3.873,13.9,0.0,DEN,WR,16
Craig Reynolds,,0.0,0.0,WAS,,3
Cullen Gillaspia,,0.0,0.0,HOU,,16
Curtis Samuel,3.873,10.7312,0.0,CAR,WR,16
Cyril Grayson,1.0,0.65,0.0,TAM,WR,2
D'Ernest Johnson,3.873,0.95,0.0,CLE,RB,16
D.J. Foster,,0.0,0.0,ARI,,6
D.J. Moore,3.7417,15.3667,0.0,CAR,WR,15
D.K. Metcalf,3.873,11.6938,0.0,SEA,WR,16
DJ Chark*,3.7417,15.0533,0.0,JAX,WR,15
Da'Mari Scott,2.0,0.94,0.0,NYG,WR,5
DaeSean Hamilton,3.873,3.9812,0.0,DEN,WR,16
Dak Prescott,3.873,21.1125,0.0,DAL,QB,16
Dallas Goedert,3.7417,9.6467,0.0,PHI,TE,15
Dalton Schultz,3.873,0.1,0.0,DAL,TE,16
Dalvin Cook*,3.6056,20.8857,0.0,MIN,RB,14
Dalyn Dawkins,1.0,1.3,0.0,TEN,RB,2
Damien Harris,1.0,0.6,0.0,NWE,RB,2
Damien Williams,3.1623,12.8273,0.0,KAN,RB,11
Damiere Byrd,3.1623,6.5364,0.0,ARI,WR,11
Damion Ratley,3.4641,2.9231,0.0,CLE,WR,13
Damion Willis,3.0,1.72,0.0,CIN,WR,10
