Player,Tm,FantPos,G,PPR,storage
D.K. Metcalf,SEA,WR,16,187.1,187.1
DJ Chark*,JAX,WR,15,225.8,225.8
Da'Mari Scott,NYG,WR,5,4.7,4.7
DaeSean Hamilton,DEN,WR,16,63.7,63.7
Dak Prescott,DAL,QB,16,337.8,337.8
Dallas Goedert,PHI,TE,15,144.7,144.7
Dalton Schultz,DAL,TE,16,1.6,1.6
Dalvin Cook*,MIN,RB,14,292.4,292.4
Dalyn Dawkins,TEN,RB,2,2.6,2.6
Damien Harris,NWE,RB,2,1.2,1.2
Damien Williams,KAN,RB,11,141.1,141.1
Damiere Byrd,ARI,WR,11,71.9,71.9
Damion Ratley,CLE,WR,13,38.0,38.0
Damion Willis,CIN,WR,10,17.2,17.2
Dan Arnold,2TM,TE,5,32.7,32.7
Daniel Brown,NYJ,WR,16,20.2,20.2
Daniel Jones,NYG,QB,13,215.0,215.0
Danny Amendola,DET,WR,15,140.6,140.6
Danny Vitale,GNB,RB,15,17.0,17.0
Dante Pettis,SFO,WR,11,34.5,34.5
Dare Ogunbowale,TAM,RB,16,75.3,75.3
Darius Jennings,TEN,WR,8,3.7,3.7
Darius Slayton,NYG,WR,14,170.0,170.0
Darrel Williams,KAN,RB,12,67.8,67.8
Darrell Daniels,ARI,TE,11,1.4,1.4
Darrell Henderson,LAR,RB,13,22.4,22.4
Darren Fells,HOU,TE,16,110.1,110.1
Darren Sproles,PHI,RB,6,17.0,17.0
Darren Waller,OAK,TE,16,221.0,221.0
Darrius Shepherd ,GNB,WR,6,-0.9,-0.9
Darvin Kidsy,WAS,N/A,3,0.0,0.0
Darwin Thompson,KAN,RB,12,32.1,32.1
Davante Adams*,GNB,WR,12,212.7,212.7
David Blough,DET,QB,5,55.4,55.4
David Fales,NYJ,N/A,2,0.0,0.0
David Fluellen,TEN,N/A,2,0.0,0.0
David Johnson,ARI,RB,13,141.5,141.5
David Montgomery,CHI,RB,16,170.4,170.4
David Moore,SEA,WR,14,59.6,59.6
David Njoku,CLE,TE,4,15.1,15.1
Davion Davis,MIN,N/A,2,0.0,0.0
Dawson Knox,BUF,TE,15,79.7,79.7
De'Anthony Thomas,2TM,WR,14,2.1,2.1
De'Lance Turner,MIA,RB,8,0.6,0.6
DeAndre Carter,HOU,WR,16,25.2,25.2
DeAndre Hopkins*+,HOU,WR,15,268.5,268.5
DeAndre Washington,OAK,RB,16,121.9,121.9
DeAndrew White,CAR,WR,10,9.1,9.1
DeSean Jackson,PHI,WR,3,36.9,36.9
DeVante Parker,MIA,WR,16,246.2,246.2
Deante Burton,DAL,N/A,3,0.0,0.0
Dede Westbrook,JAX,WR,15,156.7,156.7
Deebo Samuel,SFO,WR,15,189.1,189.1
Delanie Walker,TEN,TE,7,54.5,54.5
Demarcus Robinson,KAN,WR,16,100.9,100.9
Demaryius Thomas,NYJ,WR,11,85.3,85.3
Demetrius Harris,CLE,TE,15,49.9,49.9
Deon Cain,2TM,WR,13,21.4,21.4
