Player,Tm,FantPos,G,PPR,storage
Sterling Shepard,NYG,WR,10,141.8,141.8
Steven Mitchell,HOU,WR,3,5.7,5.7
Steven Sims,WAS,WR,16,109.5,109.5
T.J. Hockenson,DET,TE,12,80.7,80.7
T.J. Jones,NYG,WR,3,12.8,12.8
T.J. Logan,TAM,RB,12,4.3,4.3
T.J. Yeldon,BUF,RB,6,29.7,29.7
T.Y. Hilton,IND,WR,10,125.1,125.1
Taiwan Jones,HOU,RB,11,5.9,5.9
Tajae Sharpe,TEN,WR,15,81.9,81.9
Tanner Hudson,TAM,TE,9,4.6,4.6
Tarik Cohen,CHI,RB,16,163.9,163.9
Tavon Austin,DAL,WR,14,47.4,47.4
Taylor Gabriel,CHI,WR,9,90.3,90.3
Taysom Hill,NOR,QB,16,102.2,102.2
Taywan Taylor,CLE,N/A,3,0.0,0.0
Ted Ginn Jr.,NOR,WR,16,85.9,85.9
Teddy Bridgewater,NOR,QB,9,90.5,90.5
Terry McLaurin,WAS,WR,14,191.9,191.9
Tevin Coleman,SFO,RB,14,135.4,135.4
Tevin Jones,PIT,WR,5,10.1,10.1
Tim Boyle,GNB,QB,3,-0.1,-0.1
Tim Patrick,DEN,WR,8,37.8,37.8
Todd Gurley,LAR,RB,15,219.4,219.4
Tom Brady,NWE,QB,16,263.7,263.7
Tom Kennedy,DET,N/A,1,0.0,0.0
Tommy Sweeney,BUF,TE,6,19.4,19.4
Tony Brooks-James,PIT,RB,3,0.7,0.7
Tony Pollard,DAL,RB,15,89.2,89.2
Tra Carson,2TM,RB,3,10.6,10.6
Trace McSorley,BAL,QB,1,0.1,0.1
Travis Benjamin,LAC,WR,5,9.0,9.0
Travis Fulgham,DET,N/A,3,0.0,0.0
Travis Homer,SEA,RB,16,28.0,28.0
Travis Kelce*,KAN,TE,16,254.3,254.3
Trayveon Williams,CIN,N/A,11,0.0,0.0
Tre'Quan Smith,NOR,WR,11,71.4,71.4
Trent Sherfield,ARI,WR,16,12.0,12.0
Trenton Cannon,NYJ,N/A,4,0.0,0.0
Trenton Irwin,CIN,N/A,1,0.0,0.0
Trevon Wesco,NYJ,TE,16,6.9,6.9
Trevor Davis,3TM,WR,14,28.4,28.4
Trevor Siemian,NYJ,QB,1,0.1,0.1
Trey Burton,CHI,TE,8,22.4,22.4
Trey Edmunds,PIT,RB,11,20.0,20.0
Trey Quinn,WAS,WR,12,51.8,51.8
Troy Fumagalli,DEN,TE,11,15.8,15.8
Troymaine Pope,LAC,RB,14,9.4,9.4
Ty Johnson,DET,RB,16,60.2,60.2
Ty Montgomery,NYJ,RB,16,32.3,32.3
Tyler Boyd,CIN,WR,16,222.9,222.9
Tyler Conklin,MIN,TE,15,13.8,13.8
Tyler Eifert,CIN,TE,16,106.6,106.6
Tyler Ervin,2TM,RB,10,4.1,4.1
Tyler Higbee,LAR,TE,15,160.4,160.4
Tyler Kroft,BUF,TE,11,19.1,19.1
Tyler Lockett,SEA,WR,16,235.2,235.2
Tyreek Hill*,KAN,WR,12,188.3,188.3
Tyrell Williams,OAK,WR,14,143.1,143.1
Tyrod Taylor,LAC,QB,8,6.0,6.0
Tyrone Swoopes,SEA,TE,5,1.5,1.5
Vance McDonald ,PIT,TE,14,83.5,83.5
Ventell Bryant,DAL,WR,12,8.5,8.5
Vernon Davis,WAS,TE,4,28.3,28.3
Virgil Green,LAC,TE,15,22.8,22.8
Vyncint Smith,NYJ,WR,13,48.7,48.7
Wayne Gallman,NYG,RB,10,48.2,48.2
Wendell Smallwood,WAS,RB,15,23.5,23.5
Wes Hills,DET,RB,1,16.2,16.2
Will Dissly,SEA,TE,6,73.9,73.9
Will Fuller,HOU,WR,11,134.0,134.0
Will Grier,CAR,QB,2,1.3,1.3
Willie Snead,BAL,WR,16,95.1,95.1
Xavier Grimble,PIT,TE,3,1.3,1.3
Zach Ertz*,PHI,TE,15,215.6,215.6
Zach Gentry,PIT,TE,4,1.4,1.4
Zach Line,NOR,RB,12,11.6,11.6
Zach Pascal,IND,WR,16,135.3,135.3
Zach Zenner,3TM,RB,5,3.7,3.7
Zay Jones,2TM,WR,15,48.9,48.9
