Player,Consistency,Average,Median,Team,Position,Games Played
A.J. Brown,0.8418,12.6231,6.45,TEN,WR,13
A.J. Green,3.873,9.8,0.0,ARI,WR,16
AJ Dillon ,4.0,10.9176,0.0,GNB,RB,17
Aaron Jones,3.7417,15.2667,0.0,GNB,RB,15
Aaron Rodgers*+,0.4498,19.9425,20.15,GNB,QB,16
Adam Humphries,4.0,4.6647,0.0,WAS,WR,17
Adam Prentice,2.4495,0.7286,0.0,NOR,RB,7
Adam Shaheen,3.3166,1.9167,0.0,MIA,TE,12
Adam Thielen,3.4641,15.3692,0.0,MIN,WR,13
Adam Trautman,3.4641,4.8692,0.0,NOR,TE,13
Adrian Peterson,1.7321,6.65,0.0,2TM,RB,4
Albert Okwuegbunam,3.6056,5.4286,0.0,DEN,TE,14
Albert Wilson,3.6056,3.4286,0.0,MIA,WR,14
Alec Ingold,2.8284,2.7333,0.0,LVR,RB,9
Alex Armah,3.1623,0.8364,0.0,2TM,RB,11
Alex Bachman,-1.4142,-0.1,0.0,NYG,WR,3
Alex Collins,3.1623,6.2545,0.0,SEA,RB,11
Alex Erickson,4.0,0.5,0.0,CAR,WR,17
Alexander Mattison,3.873,7.8688,0.0,MIN,RB,16
Allen Lazard ,3.7417,9.5,0.0,GNB,WR,15
Allen Robinson,3.3166,7.25,0.0,CHI,WR,12
Alvin Kamara*,0.5814,16.8769,9.95,NOR,RB,13
Amari Cooper,3.7417,13.5,0.0,DAL,WR,15
Amari Rodgers,3.873,0.6,0.0,GNB,WR,16
Ameer Abdullah,4.0,5.2647,0.0,2TM,RB,17
Amon-Ra St. Brown,4.0,13.3706,0.0,DET,WR,17
Andre Roberts,3.873,0.525,0.0,2TM,WR,16
Andrew Beck,,0.0,0.0,DEN,,12
Andy Dalton,2.6458,10.525,0.0,CHI,QB,8
Andy Isabella,2.6458,0.2875,0.0,ARI,WR,8
Andy Janovich,3.4641,0.9154,0.0,CLE,RB,13
Anthony Firkser,3.7417,5.2733,0.0,TEN,TE,15
Anthony McFarland Jr.,1.0,1.2,0.0,PIT,RB,2
Anthony Miller,1.4142,4.8333,0.0,2TM,WR,3
Anthony Schwartz,3.6056,2.3857,0.0,CLE,WR,14
Antoine Wesley,3.7417,3.8533,0.0,ARI,WR,15
Antonio Brown,2.4495,17.3,0.0,TAM,WR,7
Antonio Gandy-Golden,,0.0,0.0,WAS,,4
Antonio Gibson ,3.873,14.3188,0.0,WAS,RB,16
Antony Auclair,3.873,0.9812,0.0,HOU,TE,16
Artavis Pierce,,0.0,0.0,CHI,,1
Ashton Dulin,4.0,3.0294,0.0,IND,WR,17
Auden Tate,2.4495,1.8429,0.0,CIN,WR,7
Austin Ekeler,0.3867,21.4875,19.2,LAC,RB,16
Austin Hooper,3.873,5.7812,0.0,CLE,TE,16
