Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
A.J. Brown,TEN,WR,13,13,118,180.9,183.9,149.4,32,N/A
A.J. Green,ARI,WR,16,9,103,156.8,159.8,129.8,43,N/A
AJ Dillon ,GNB,RB,17,2,152,185.6,192.6,168.6,21,70
Aaron Jones,GNB,RB,15,15,177,229.0,236.0,203.0,13,42
Aaron Rodgers*+,GNB,QB,16,16,332,333.3,343.3,336.8,5,18
Adam Humphries,WAS,WR,17,11,38,79.3,82.3,58.8,111,N/A
Adam Prentice,NOR,RB,7,3,2,5.1,5.1,3.6,145,N/A
Adam Shaheen,MIA,TE,12,7,11,23.0,26.0,17.0,73,N/A
Adam Thielen,MIN,WR,13,13,133,199.8,202.8,166.3,27,67
Adam Trautman,NOR,TE,13,10,36,63.3,67.3,49.8,42,N/A
Adrian Peterson,2TM,RB,4,3,23,26.6,26.6,24.6,97,N/A
Albert Okwuegbunam,DEN,TE,14,6,43,76.0,80.0,59.5,30,N/A
Albert Wilson,MIA,WR,14,5,23,48.0,51.0,35.5,135,N/A
Alec Ingold,LVR,RB,9,3,15,24.6,24.6,19.6,110,N/A
Alex Armah,2TM,RB,11,2,8,9.2,9.2,8.7,126,N/A
Alex Bachman,NYG,WR,3,0,N/A,-0.3,-0.3,-0.3,257,N/A
Alex Collins,SEA,RB,11,6,60,68.8,72.8,64.3,62,N/A
Alex Erickson,CAR,WR,17,0,6,8.5,8.5,7.0,181,N/A
Alexander Mattison,MIN,RB,16,4,94,125.9,132.9,109.9,40,N/A
Allen Lazard ,GNB,WR,15,13,103,142.5,145.5,122.5,44,N/A
Allen Robinson,CHI,WR,12,11,49,87.0,90.0,68.0,95,N/A
Alvin Kamara*,NOR,RB,13,10,188,234.7,240.7,211.2,9,32
Amari Cooper,DAL,WR,15,14,135,202.5,205.5,168.5,26,65
Amari Rodgers,GNB,WR,16,1,6,9.6,9.6,7.6,180,N/A
Ameer Abdullah,2TM,RB,17,1,52,89.5,95.5,70.5,66,N/A
Amon-Ra St. Brown,DET,WR,17,9,137,227.3,230.3,182.3,23,61
Andre Roberts,2TM,WR,16,0,7,8.4,10.4,7.9,172,N/A
Andrew Beck,DEN,N/A,12,0,N/A,0.0,N/A,N/A,117,N/A
Andy Dalton,CHI,QB,8,6,84,84.2,97.2,93.2,36,N/A
Andy Isabella,ARI,WR,8,0,1,2.3,2.3,1.8,214,N/A
Andy Janovich,CLE,RB,13,3,9,11.9,11.9,10.4,124,N/A
Anthony Firkser,TEN,TE,15,1,45,79.1,83.1,62.1,29,N/A
