Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
Anthony McFarland Jr.,PIT,RB,2,0,1,2.4,2.4,1.9,152,N/A
Anthony Miller,2TM,WR,3,1,9,14.5,14.5,11.5,168,N/A
Anthony Schwartz,CLE,WR,14,2,23,33.4,36.4,28.4,133,N/A
Antoine Wesley,ARI,WR,15,4,39,57.8,60.8,48.3,109,N/A
Antonio Brown,TAM,WR,7,3,79,121.1,124.1,100.1,57,N/A
Antonio Gandy-Golden,WAS,N/A,4,0,N/A,0.0,N/A,N/A,240,N/A
Antonio Gibson ,WAS,RB,16,14,187,229.1,239.1,208.1,10,33
Antony Auclair,HOU,TE,16,13,11,15.7,15.7,13.2,74,N/A
Artavis Pierce,CHI,N/A,1,0,N/A,0.0,N/A,N/A,174,N/A
Ashton Dulin,IND,WR,17,1,39,51.5,54.5,45.0,110,N/A
Auden Tate,CIN,WR,7,0,10,12.9,12.9,11.4,165,N/A
Austin Ekeler,LAC,RB,16,16,274,343.8,352.8,308.8,2,5
Austin Hooper,CLE,TE,16,16,55,92.5,95.5,73.5,26,N/A
Austin Walter,NYJ,RB,4,0,17,19.0,22.0,18.0,105,N/A
Baker Mayfield,CLE,QB,14,14,181,180.9,202.9,193.9,26,N/A
Ben Ellefson,MIN,N/A,5,0,N/A,0.0,N/A,N/A,123,N/A
Ben Roethlisberger,PIT,QB,16,16,218,218.1,236.1,228.1,21,N/A
Ben Skowronek,LAR,WR,14,1,13,24.3,27.3,18.8,154,N/A
Benny Snell Jr.,PIT,RB,17,0,11,13.1,13.1,12.1,118,N/A
Blaine Gabbert,TAM,QB,6,0,2,2.0,2.0,2.0,68,N/A
Blake Bell,KAN,TE,16,5,10,18.7,18.7,14.2,79,N/A
Blake Jarwin,DAL,TE,8,5,22,32.6,32.6,27.1,57,N/A
Boston Scott,PHI,RB,16,4,86,98.6,102.6,92.1,47,N/A
Brandin Cooks,HOU,WR,16,16,142,231.8,234.8,186.8,20,56
Brandon Aiyuk,SFO,WR,17,16,114,170.3,174.3,142.3,34,N/A
Brandon Allen,CIN,QB,6,1,14,13.9,13.9,13.9,56,N/A
Brandon Bolden,NWE,RB,17,1,83,124.1,130.1,103.6,51,N/A
Brandon Dillon,MIN,N/A,1,0,N/A,0.0,N/A,N/A,122,N/A
Brandon Powell,LAR,N/A,6,0,6,6.0,6.0,6.0,176,N/A
Brandon Zylstra,CAR,WR,13,3,31,49.0,52.0,40.0,123,N/A
Braxton Berrios+,NYJ,WR,16,1,75,121.1,125.1,98.1,61,N/A
Breshad Perriman,TAM,WR,6,0,22,33.4,36.4,27.9,136,N/A
Brett Rypien,DEN,QB,1,0,N/A,0.0,N/A,N/A,77,N/A
Brevin Jordan,HOU,TE,9,2,36,55.8,58.8,45.8,44,N/A
Brian Hill,SFO,N/A,3,0,N/A,0.0,N/A,N/A,171,N/A
Brian Hoyer,NWE,QB,5,0,12,12.3,12.3,12.3,59,N/A
Brock Wright,DET,TE,10,5,24,35.7,38.7,29.7,54,N/A
Bryan Edwards,LVR,WR,16,12,75,109.1,112.1,92.1,62,N/A
Brycen Hopkins,LAR,TE,5,0,1,1.9,1.9,1.4,109,N/A
Buddy Howell,LAR,RB,10,0,1,1.1,1.1,1.1,156,N/A
Byron Pringle,KAN,WR,17,5,85,126.8,130.8,105.8,53,N/A
C.J. Beathard,JAX,QB,2,0,2,1.5,1.5,1.5,69,N/A
C.J. Board,NYG,WR,6,1,6,9.7,9.7,7.7,178,N/A
C.J. Ham,MIN,RB,17,8,16,32.9,35.9,24.4,107,N/A
C.J. Saunders,CAR,WR,2,0,1,3.1,3.1,2.1,216,N/A
C.J. Uzomah,CIN,TE,16,16,79,128.3,131.3,103.8,17,N/A
Calvin Ridley,ATL,WR,5,5,40,71.1,74.1,55.6,107,N/A
Cam Akers,LAR,RB,1,0,1,4.3,4.3,2.8,153,N/A
Cam Newton,CAR,QB,8,5,86,86.4,98.4,91.4,35,N/A
Cam Sims,WAS,WR,14,3,34,48.8,51.8,41.3,119,N/A
Cameron Batson,TEN,WR,4,0,9,11.0,11.0,10.0,167,N/A
Cameron Brate,TAM,TE,17,3,49,78.5,81.5,63.5,28,N/A
Carlos Hyde,JAX,RB,12,2,34,45.8,50.8,39.8,84,N/A
Carson Wentz,IND,QB,17,17,258,258.0,276.0,265.0,13,N/A
Case Keenum,CLE,QB,7,2,29,28.7,33.7,29.7,48,N/A
Cedrick Wilson Jr.,DAL,WR,16,4,103,147.8,150.8,125.3,42,N/A
CeeDee Lamb*,DAL,WR,16,13,154,232.8,235.8,193.3,14,39
Cethan Carter,MIA,TE,16,1,2,3.6,3.6,2.6,103,N/A
Chad Henne,KAN,QB,4,0,3,3.3,3.3,3.3,65,N/A
Charlie Woerner,SFO,TE,17,3,5,10.2,10.2,7.7,87,N/A
Chase Claypool,PIT,WR,15,13,108,166.6,169.6,137.1,36,N/A
Chase Daniel,LAC,QB,1,0,N/A,-0.2,-0.2,-0.2,79,N/A
Chase Edmonds,ARI,RB,12,11,100,143.3,150.3,121.8,37,N/A
Chester Rogers,TEN,WR,16,2,35,65.0,69.0,50.0,115,N/A
Chris Carson,SEA,RB,4,4,42,48.1,52.1,45.1,75,N/A
Chris Conley,HOU,WR,16,10,43,64.6,68.6,53.6,103,N/A
Chris Evans,CIN,RB,14,1,35,49.8,52.8,42.3,83,N/A
Chris Godwin,TAM,WR,14,14,144,242.4,247.4,193.4,19,52
Chris Herndon,MIN,TE,16,5,10,14.0,14.0,12.0,78,N/A
Chris Hogan,NOR,WR,5,1,10,14.1,14.1,12.1,163,N/A
Chris Manhertz,JAX,TE,17,10,13,19.1,19.1,16.1,68,N/A
Chris Moore,HOU,WR,12,1,35,55.7,58.7,45.2,116,N/A
Chris Myarick,NYG,TE,8,3,8,10.7,10.7,9.2,84,N/A
Chris Streveler,ARI,QB,2,0,2,2.0,2.0,2.0,66,N/A
Christian Blake,ATL,WR,16,0,3,6.5,6.5,4.5,203,N/A
Christian Kirk,ARI,WR,17,11,131,207.6,210.6,169.1,28,68
Christian McCaffrey,CAR,RB,7,7,91,127.5,133.5,109.0,44,N/A
Chuba Hubbard,CAR,RB,17,10,113,137.6,144.6,125.1,33,N/A
Clark Harris,CIN,N/A,17,0,N/A,0.0,N/A,N/A,124,N/A
Clyde Edwards-Helaire,KAN,RB,10,10,99,117.6,125.6,108.1,38,N/A
Codey McElroy,TAM,N/A,2,0,N/A,0.0,N/A,N/A,246,N/A
Cody Hollister,TEN,WR,3,1,3,7.3,7.3,5.3,197,N/A
Cody Thompson,SEA,N/A,5,0,N/A,0.0,N/A,N/A,253,N/A
Cody White,PIT,WR,15,0,3,8.3,8.3,5.8,198,N/A
Colby Parkinson,SEA,TE,14,1,3,8.3,8.3,5.8,98,N/A
Cole Beasley,BUF,WR,16,8,77,159.3,162.3,118.3,58,N/A
Cole Kmet,CHI,TE,17,17,61,121.2,124.2,91.2,22,N/A
Colin Thompson,CAR,N/A,11,2,N/A,0.0,N/A,N/A,138,N/A
Collin Johnson,NYG,WR,12,1,11,21.5,24.5,16.0,161,N/A
Colt McCoy,ARI,QB,8,3,41,41.3,46.3,42.3,45,N/A
Connor Davis,CLE,N/A,1,0,N/A,0.0,N/A,N/A,121,N/A
Cooper Kupp*+,LAR,WR,17,17,295,439.5,442.5,367.0,1,2
Cooper Rush,DAL,QB,5,1,24,24.1,29.1,25.1,50,N/A
Cordarrelle Patterson,ATL,RB,16,13,183,234.6,240.6,208.6,12,36
Corey Clement,DAL,RB,17,0,23,28.9,31.9,25.9,95,N/A
Corey Davis,NYJ,WR,9,9,71,105.2,109.2,88.2,64,N/A
Courtland Sutton,DEN,WR,17,16,92,150.2,153.2,121.2,47,N/A
Craig Reynolds,DET,RB,5,2,28,35.2,38.2,31.7,89,N/A
Cullen Gillaspia,NYG,N/A,15,0,N/A,0.0,N/A,N/A,170,N/A
Curtis Samuel,WAS,WR,5,1,4,9.8,9.8,6.8,188,N/A
Cyril Grayson,TAM,WR,5,3,35,44.6,47.6,39.6,117,N/A
D'Andre Swift,DET,RB,13,4,147,208.9,215.9,177.9,23,73
D'Ernest Johnson,CLE,RB,17,2,85,104.1,110.1,94.6,48,N/A
D'Onta Foreman,TEN,RB,9,3,85,93.9,100.9,89.4,49,N/A
D'Wayne Eskridge,SEA,WR,10,0,18,28.3,28.3,23.3,141,N/A
D.J. Montgomery,NYJ,WR,3,0,4,6.6,6.6,5.1,194,N/A
D.J. Moore,CAR,WR,17,17,145,237.5,241.5,191.0,18,51
D.K. Metcalf,SEA,WR,17,17,169,244.3,247.3,206.8,10,26
DJ Chark,JAX,WR,4,4,27,34.4,37.4,30.9,129,N/A
Dak Prescott,DAL,QB,16,16,321,320.6,342.6,330.6,7,23
Dallas Goedert,PHI,TE,15,14,109,165.0,168.0,137.0,8,57
Dalton Schultz,DAL,TE,17,15,131,208.8,211.8,169.8,3,35
Dalvin Cook*,MIN,RB,13,13,172,206.3,214.3,189.3,15,46
Damarea Crockett,DEN,RB,12,0,1,0.7,0.7,0.7,160,N/A
Damien Harris,NWE,RB,15,15,192,210.1,218.1,201.1,8,28
Damien Williams,CHI,RB,12,2,45,60.7,66.7,52.7,72,N/A
Damiere Byrd,CHI,WR,17,4,39,64.9,68.9,51.9,108,N/A
Dan Arnold,2TM,TE,11,4,41,75.8,79.8,58.3,32,N/A
Dan Chisena,MIN,N/A,11,0,N/A,0.0,N/A,N/A,232,N/A
Daniel Brown,NYJ,WR,12,0,3,4.9,4.9,3.9,200,N/A
Daniel Helm,LVR,TE,9,1,N/A,0.9,0.9,0.4,144,N/A
Daniel Jones,NYG,QB,11,11,167,167.5,183.5,174.0,27,N/A
Danny Amendola,HOU,WR,8,0,45,68.8,71.8,56.8,99,N/A
Dante Pettis,NYG,WR,3,0,15,25.3,25.3,20.3,149,N/A
Dare Ogunbowale,JAX,RB,17,2,37,50.1,56.1,43.6,80,N/A
Darius Bradwell,LAC,N/A,2,0,N/A,0.0,N/A,N/A,168,N/A
Darius Slayton,NYG,WR,13,5,43,68.6,72.6,55.6,104,N/A
Darnell Mooney,CHI,WR,17,14,139,219.7,222.7,179.2,22,58
Darrel Williams,KAN,RB,17,7,149,196.0,202.0,172.5,22,72
Darrell Daniels,ARI,TE,15,4,N/A,1.0,1.0,0.5,120,N/A
Darrell Henderson,LAR,RB,12,10,134,163.4,169.4,148.9,26,N/A
Darren Fells,2TM,TE,9,5,4,8.3,8.3,6.3,89,N/A
Darren Waller,LVR,TE,11,11,79,133.5,136.5,106.0,18,N/A
Darrynton Evans,TEN,RB,1,0,2,3.8,3.8,2.8,148,N/A
Daurice Fountain,KAN,N/A,2,0,N/A,0.0,N/A,N/A,238,N/A
Davante Adams*+,GNB,WR,16,16,221,344.3,347.3,282.8,5,12
David Blough,DET,QB,1,0,1,0.6,0.6,0.6,72,N/A
David Johnson,HOU,RB,13,4,49,81.3,88.3,65.3,67,N/A
David Montgomery,CHI,RB,13,13,153,195.0,203.0,175.0,20,69
David Moore,2TM,N/A,3,0,N/A,0.0,N/A,N/A,247,N/A
David Njoku,CLE,TE,16,11,72,107.6,110.6,89.6,20,N/A
David Sills,NYG,WR,4,1,2,3.7,3.7,2.7,209,N/A
David Wells,ARI,N/A,3,1,N/A,0.0,N/A,N/A,142,N/A
Davion Davis,HOU,WR,2,1,2,2.7,2.7,2.2,207,N/A
Davis Mills,HOU,QB,13,11,157,157.0,171.0,167.0,29,N/A
Davis Webb,BUF,QB,1,0,N/A,-0.3,-0.3,-0.3,80,N/A
Dawson Knox,BUF,TE,15,14,115,164.1,167.1,139.6,6,50
Dax Milne,WAS,WR,13,1,6,15.4,16.4,10.9,175,N/A
Dazz Newsome,CHI,WR,3,1,2,4.3,4.3,3.3,205,N/A
De'Michael Harris,IND,N/A,3,0,N/A,0.0,N/A,N/A,242,N/A
DeAndre Carter,WAS,WR,17,6,63,86.5,89.5,74.5,71,N/A
DeAndre Hopkins,ARI,WR,10,10,105,147.2,150.2,126.2,39,N/A
DeSean Jackson,2TM,WR,16,4,56,75.8,79.8,65.8,83,N/A
DeVante Parker,MIA,WR,10,8,64,103.5,106.5,83.5,70,N/A
DeVonta Smith,PHI,WR,17,16,122,185.6,189.6,153.6,30,N/A
Deante Burton,DAL,N/A,1,0,N/A,0.0,N/A,N/A,230,N/A
Dede Westbrook,MIN,WR,15,0,7,16.8,16.8,11.8,173,N/A
DeeJay Dallas,SEA,RB,17,0,39,60.1,66.1,49.6,79,N/A
Deebo Samuel*+,SFO,WR,16,15,262,339.0,347.0,300.5,2,3
Demarcus Robinson,KAN,WR,17,10,44,69.4,72.4,56.9,100,N/A
Demetric Felton,CLE,RB,16,2,33,50.5,53.5,41.5,88,N/A
Demetrius Harris,ARI,TE,14,4,1,4.0,4.0,2.5,108,N/A
Denzel Mims,NYJ,WR,11,3,13,21.3,24.3,17.3,153,N/A
Deon Jackson,IND,RB,9,0,9,9.1,9.1,9.1,122,N/A
Deon Yelder,TAM,TE,5,0,N/A,1.0,1.0,0.5,143,N/A
Deonte Harty,NOR,WR,13,1,77,113.1,117.1,95.1,59,N/A
Derek Carr,LVR,QB,17,17,257,257.0,282.0,271.0,14,N/A
Derek Carrier,LVR,TE,5,1,1,3.3,3.3,2.3,105,N/A
Derek Watt,PIT,RB,17,4,2,4.6,4.6,3.1,150,N/A
Derrick Gore,KAN,RB,11,0,48,56.1,62.1,52.1,68,N/A
Derrick Henry ,TEN,RB,8,8,175,193.3,199.3,184.3,14,44
Devin Asiasi,NWE,N/A,1,0,N/A,0.0,N/A,N/A,116,N/A
Devin Duvernay*+,BAL,WR,16,7,50,83.2,86.2,66.7,92,N/A
Devin Singletary,BUF,RB,17,16,158,197.8,203.8,177.8,19,66
Devin Smith,JAX,N/A,4,0,N/A,0.0,N/A,N/A,251,N/A
Devine Ozigbo,2TM,RB,3,0,N/A,1.4,1.4,0.9,163,N/A
Devonta Freeman,BAL,RB,16,8,113,146.6,152.6,129.6,32,N/A
Devontae Booker,NYG,RB,16,4,104,144.1,150.1,124.1,35,N/A
Dez Fitzpatrick,TEN,WR,4,0,11,15.9,15.9,13.4,160,N/A
Dezmon Patmon,IND,WR,8,0,8,10.1,10.1,9.1,169,N/A
Diontae Johnson*,PIT,WR,16,14,167,274.4,279.4,220.9,12,30
Diontae Spencer,DEN,WR,15,0,-4,-3.3,-1.3,-3.8,261,N/A
Dominique Dafney,GNB,TE,10,2,3,5.4,5.4,4.4,96,N/A
Donald Parham,LAC,TE,14,9,39,59.0,62.0,49.0,36,N/A
Donovan Peoples-Jones,CLE,WR,14,9,76,109.7,113.7,92.7,60,N/A
Dontrell Hilliard,TEN,RB,8,5,54,72.7,76.7,63.2,65,N/A
Drew Lock,DEN,QB,6,3,51,51.9,57.9,53.4,42,N/A
Drew Sample,CIN,TE,17,8,8,19.1,19.1,13.6,83,N/A
Duke Johnson,MIA,RB,5,4,55,59.1,62.1,57.1,64,N/A
Durham Smythe,MIA,TE,17,12,36,70.0,73.0,53.0,43,N/A
Dwayne Washington,NOR,RB,14,0,3,4.8,4.8,3.8,139,N/A
Dyami Brown,WAS,WR,15,6,16,28.1,31.1,22.1,146,N/A
Easop Winston,NOR,WR,3,1,1,1.5,1.5,1.0,223,N/A
Elijah Mitchell,SFO,RB,11,10,146,165.0,171.0,155.5,24,76
Elijah Moore,NYJ,WR,11,6,95,138.2,141.2,116.7,46,N/A
Elijhaa Penny,NYG,RB,17,3,27,35.9,35.9,31.4,90,N/A
Emmanuel Sanders,BUF,WR,14,13,90,131.7,134.7,110.7,50,N/A
Eno Benjamin,ARI,RB,9,0,22,28.0,31.0,25.0,98,N/A
Equanimeous St. Brown,GNB,WR,13,2,11,20.2,20.2,15.7,158,N/A
Eric Ebron,PIT,TE,8,3,21,32.5,32.5,26.5,59,N/A
Eric Saubert,DEN,TE,17,4,11,18.7,18.7,14.7,75,N/A
Eric Tomlinson,BAL,TE,17,7,1,1.7,1.7,1.2,114,N/A
Ethan Wolf,NOR,TE,2,1,1,2.8,2.8,1.8,113,N/A
Evan Engram,NYG,TE,15,12,57,102.5,106.5,79.5,23,N/A
Ezekiel Elliott,DAL,RB,17,17,205,252.1,259.1,228.6,6,22
Feleipe Franks,ATL,QB,9,0,-1,-1.4,-0.4,-0.4,83,N/A
Foster Moreau,LVR,TE,17,11,55,85.3,88.3,70.3,25,N/A
Frank Darby,ATL,WR,10,0,1,2.4,2.4,1.9,211,N/A
Freddie Swain,SEA,WR,17,8,62,86.5,89.5,74.0,72,N/A
Gabe Nabers,LAC,RB,10,1,3,5.5,5.5,4.0,141,N/A
Gabriel Davis,BUF,WR,16,4,91,125.9,128.9,108.4,49,N/A
Gardner Minshew II,PHI,QB,4,2,34,33.7,37.7,34.7,46,N/A
Garrett Gilbert,WAS,QB,1,1,8,7.8,7.8,7.8,64,N/A
Garrett Griffin,NOR,TE,13,6,4,7.9,7.9,5.9,91,N/A
Gary Brightwell,NYG,RB,13,0,1,2.0,2.0,1.5,158,N/A
Geno Smith,SEA,QB,4,3,54,54.3,59.3,55.3,41,N/A
Geoff Swaim,TEN,TE,16,16,39,70.0,73.0,54.5,37,N/A
George Kittle*,SFO,TE,14,14,127,198.0,202.0,162.5,4,37
Gerald Everett,SEA,TE,15,12,70,117.8,122.8,93.8,21,N/A
Geronimo Allison,DET,N/A,3,1,N/A,0.0,N/A,N/A,226,N/A
Giovani Bernard,TAM,RB,12,0,36,59.1,62.1,47.6,81,N/A
Giovanni Ricci,CAR,N/A,16,1,N/A,0.0,N/A,N/A,133,N/A
Godwin Igwebuike,DET,RB,17,1,20,26.8,31.8,23.3,100,N/A
Greg Dortch,ARI,WR,5,2,4,6.9,6.9,5.4,187,N/A
Greg Ward,PHI,WR,17,0,28,34.6,34.6,31.1,127,N/A
Gunner Olszewski,NWE,WR,16,0,4,6.0,6.0,5.0,186,N/A
Harrison Bryant,CLE,TE,16,3,41,62.3,65.3,51.8,31,N/A
Hayden Hurst,ATL,TE,13,5,38,64.1,68.1,51.1,39,N/A
Henry Ruggs III,LVR,WR,7,7,61,84.5,87.5,72.5,74,N/A
Hunter Henry,NWE,TE,17,10,114,164.3,167.3,139.3,7,53
Hunter Long,MIA,TE,7,2,1,1.8,1.8,1.3,111,N/A
Hunter Renfrow*,LVR,WR,17,9,156,259.1,263.1,207.6,13,38
Ian Book,NOR,QB,1,1,2,2.0,4.0,4.0,67,N/A
Ian Thomas,CAR,TE,17,13,19,36.8,39.8,27.8,62,N/A
Ihmir Smith-Marsette,MIN,WR,8,1,24,28.6,31.6,26.1,131,N/A
Isaiah Coulter,CHI,N/A,3,0,N/A,0.0,N/A,N/A,235,N/A
Isaiah Ford,MIA,WR,13,2,28,40.1,43.1,34.1,126,N/A
Isaiah McKenzie,BUF,WR,15,2,33,52.5,56.5,42.5,122,N/A
Ito Smith,DAL,RB,1,0,6,6.4,6.4,6.4,129,N/A
J.D. McKissic,WAS,RB,11,3,85,127.9,133.9,106.4,50,N/A
J.J. Taylor,NWE,RB,5,0,15,18.5,19.5,16.5,112,N/A
J.P. Holtz,CHI,N/A,13,0,N/A,0.0,N/A,N/A,127,N/A
JJ Arcega-Whiteside,PHI,WR,16,2,4,5.6,5.6,4.6,192,N/A
Ja'Marcus Bradley,CLE,WR,5,0,6,10.4,10.4,8.4,174,N/A
Ja'Marr Chase*,CIN,WR,17,17,224,304.6,308.6,264.1,3,9
JaQuan Hardy,DAL,RB,3,0,9,8.9,8.9,8.9,123,N/A
Jack Doyle,IND,TE,17,14,50,79.2,82.2,64.7,27,N/A
Jack Stoll,PHI,TE,16,5,2,6.2,6.2,4.2,102,N/A
Jacob Eason,IND,QB,1,0,-1,-1.0,N/A,N/A,82,N/A
Jacob Harris,LAR,N/A,9,0,N/A,0.0,N/A,N/A,125,N/A
Jacob Hollister,JAX,TE,7,2,12,20.5,20.5,16.0,71,N/A
Jacoby Brissett,MIA,QB,11,5,72,72.3,82.3,76.3,39,N/A
Jacques Patrick,SFO,RB,2,0,1,1.2,1.2,1.2,155,N/A
Jaelon Darden,TAM,WR,9,0,5,11.4,11.4,8.4,182,N/A
Jake Bargas,MIN,N/A,1,0,N/A,0.0,N/A,N/A,166,N/A
Jake Fromm,NYG,QB,3,2,11,10.9,14.9,13.9,60,N/A
Jake Funk,LAR,RB,10,0,1,0.5,0.5,0.5,161,N/A
Jake Kumerow,BUF,WR,15,2,3,4.8,4.8,3.8,201,N/A
Jakeem Grant*,2TM,WR,15,0,29,39.5,45.5,34.0,125,N/A
Jakob Johnson,NWE,RB,17,6,4,8.3,8.3,6.3,136,N/A
Jakobi Meyers,NWE,WR,17,16,103,186.3,190.3,144.8,41,N/A
Jalen Guyton,LAC,WR,16,2,66,97.2,100.2,81.7,67,N/A
Jalen Hurts,PHI,QB,15,15,312,312.2,329.2,321.2,9,31
Jalen Reagor,PHI,WR,17,13,45,78.1,81.1,61.6,98,N/A
Jalen Richard,LVR,RB,10,0,11,23.2,23.2,17.2,117,N/A
Jamaal Williams,DET,RB,13,11,94,119.8,125.8,106.8,41,N/A
Jamal Agnew,JAX,WR,10,2,52,76.0,82.0,64.0,87,N/A
Jameis Winston,NOR,QB,7,7,117,117.4,127.4,120.4,33,N/A
James Conner*,ARI,RB,15,6,221,257.7,263.7,239.2,5,16
James O'Shaughnessy,JAX,TE,7,6,26,50.4,53.4,38.4,52,N/A
James Proche,BAL,WR,14,0,20,36.2,39.2,28.2,138,N/A
James Robinson,JAX,RB,14,13,143,173.9,181.9,158.4,25,N/A
James Washington,PIT,WR,15,2,42,65.8,68.8,53.8,105,N/A
James White,NWE,RB,3,0,19,31.2,31.2,25.2,102,N/A
Jamison Crowder,NYJ,WR,12,4,59,109.7,113.7,84.2,78,N/A
Jamycal Hasty,SFO,RB,11,0,27,49.5,53.5,38.0,92,N/A
Jared Cook,LAC,TE,16,10,84,132.4,135.4,108.4,15,N/A
Jared Goff,DET,QB,14,14,195,194.5,211.5,202.5,24,N/A
Jaret Patterson,WAS,RB,17,1,46,55.9,58.9,50.9,69,N/A
Jarvis Landry,CLE,WR,12,12,81,133.0,138.0,107.0,56,N/A
Jason Cabinda,DET,RB,14,4,10,13.9,13.9,11.9,120,N/A
Jason Huntley,PHI,RB,1,0,5,5.1,5.1,5.1,132,N/A
Jason Moore,LAC,WR,2,1,6,8.6,8.6,7.1,179,N/A
Jauan Jennings,SFO,WR,16,1,58,82.2,85.2,70.2,79,N/A
Javonte Williams,DEN,RB,17,1,162,204.9,211.9,183.4,18,60
Jaydon Mickens,2TM,WR,11,0,1,3.0,3.0,2.0,219,N/A
Jaylen Samuels,HOU,RB,3,0,2,5.3,5.3,3.8,142,N/A
Jaylen Waddle,MIA,WR,16,16,142,245.8,249.8,193.8,21,55
Jeff Driskel,HOU,N/A,1,0,N/A,0.0,N/A,N/A,75,N/A
Jeff Smith,NYJ,WR,12,3,11,19.2,22.2,15.2,157,N/A
Jeff Wilson,SFO,RB,9,4,45,51.5,54.5,48.0,73,N/A
Jeremy McNichols,TEN,RB,14,0,46,73.6,79.6,59.6,71,N/A
Jeremy Sprinkle,DAL,TE,17,4,3,6.1,6.1,4.6,101,N/A
Jerick McKinnon,KAN,RB,13,0,23,35.9,38.9,29.4,96,N/A
Jermar Jefferson,DET,RB,7,0,22,25.7,25.7,23.7,99,N/A
Jerry Jeudy,DEN,WR,10,5,47,85.0,88.0,66.0,96,N/A
Jesper Horsted,CHI,TE,7,0,14,16.1,16.1,15.1,67,N/A
Jesse James,CHI,TE,14,9,12,19.2,19.2,15.7,70,N/A
Jimmy Garoppolo,SFO,QB,15,15,228,227.5,245.5,239.5,17,N/A
Jimmy Graham,CHI,TE,15,6,37,50.7,53.7,43.7,40,N/A
Joe Burrow,CIN,QB,16,16,314,314.2,336.2,328.2,8,29
Joe Flacco,NYJ,QB,2,1,24,23.8,27.8,23.8,51,N/A
Joe Fortson,KAN,TE,6,0,17,21.7,21.7,19.2,64,N/A
Joe Mixon*,CIN,RB,16,16,246,287.9,294.9,266.9,3,11
John Bates,WAS,TE,17,8,31,50.9,53.9,40.9,50,N/A
John Brown,3TM,N/A,4,0,N/A,0.0,N/A,N/A,229,N/A
John Hightower,PHI,N/A,1,0,N/A,0.0,N/A,N/A,244,N/A
John Kelly,CLE,RB,4,0,1,1.3,1.3,1.3,154,N/A
John Ross,NYG,WR,10,1,30,41.0,44.0,35.5,124,N/A
John Wolford,LAR,QB,3,0,-2,-1.9,-0.9,-0.9,84,N/A
Johnny Mundt,LAR,TE,6,0,1,1.9,1.9,1.4,110,N/A
Johnny Stanton,CLE,RB,4,0,7,9.2,9.2,8.2,127,N/A
Jojo Natson,CLE,N/A,3,0,N/A,0.0,N/A,N/A,248,N/A
Jonathan Taylor*+,IND,RB,17,17,333,373.1,381.1,353.1,1,1
Jonathan Ward,ARI,RB,13,0,7,9.7,9.7,8.2,128,N/A
Jonathan Williams,WAS,RB,5,0,17,20.7,20.7,18.7,106,N/A
Jonnu Smith,NWE,TE,16,11,39,67.4,70.4,53.4,34,N/A
Jordan Akins,HOU,TE,13,3,18,41.7,46.7,29.7,63,N/A
