Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
Andrei Iosivas,CIN,WR,12,0,16,20.9,20.9,18.4,126,N/A
Andrew Beck,HOU,FB,12,10,15,20.8,21.8,17.8,84,N/A
Andrew Ogletree,IND,TE,10,7,27,35.7,38.7,31.2,35,N/A
Andy Dalton,CAR,QB,3,1,24,23.6,26.6,23.6,45,N/A
Andy Isabella,BUF,WR,2,0,N/A,0.0,N/A,N/A,212,N/A
Anthony McFarland Jr.,PIT,RB,3,0,1,3.1,3.1,2.1,132,N/A
Anthony Richardson,IND,QB,4,4,73,72.7,80.7,73.7,32,N/A
Antoine Green,DET,WR,8,0,N/A,1.2,1.2,0.7,190,N/A
Antonio Gibson,WAS,RB,12,0,60,96.5,104.5,78.0,45,N/A
Austin Ekeler,LAC,RB,10,10,114,150.1,159.1,132.1,25,N/A
Austin Hooper,LVR,TE,13,6,15,31.4,34.4,23.4,56,N/A
Austin Trammell,LAR,WR,12,0,1,4.9,5.9,2.9,188,N/A
Bailey Zappe,NWE,QB,6,2,30,30.5,36.5,33.5,44,N/A
Baker Mayfield,TAM,QB,13,13,203,202.8,218.8,210.8,15,N/A
Ben Sims,GNB,TE,13,0,8,10.5,10.5,9.0,74,N/A
Ben Skowronek,LAR,WR,13,0,11,17.3,17.3,14.3,143,N/A
Bijan Robinson,ATL,RB,13,12,149,189.0,197.0,169.0,8,33
Blaine Gabbert,KAN,QB,1,0,-3,-2.9,-0.9,-0.9,77,N/A
Blake Bell,KAN,TE,13,2,6,8.9,9.9,7.4,77,N/A
Blake Whiteheart,ARI,TE,1,0,N/A,0.0,N/A,N/A,129,N/A
Bo Melton,GNB,WR,1,0,N/A,0.0,N/A,N/A,216,N/A
Boston Scott,PHI,RB,11,0,13,17.0,17.0,15.0,89,N/A
Brady Russell,SEA,TE,11,0,N/A,0.0,N/A,N/A,126,N/A
Brandin Cooks,DAL,WR,12,11,88,126.7,129.7,107.2,38,N/A
Brandon Aiyuk,SFO,WR,12,12,139,195.3,199.3,167.3,12,23
Brandon Bolden,LVR,RB,13,0,N/A,0.0,N/A,N/A,140,N/A
Brandon Johnson,DEN,WR,9,2,30,38.2,41.2,34.2,98,N/A
Brandon Powell,MIN,WR,13,2,33,57.6,61.6,45.1,94,N/A
Braxton Berrios,MIA,WR,12,1,28,49.8,52.8,38.8,103,N/A
Brayden Willis,SFO,TE,3,0,N/A,0.0,N/A,N/A,130,N/A
Breece Hall,NYJ,RB,13,12,136,188.0,194.0,162.0,16,56
Brenton Strange,JAX,TE,11,2,9,13.4,13.4,11.4,70,N/A
Brett Rypien,LAR,QB,2,1,5,4.8,6.8,5.8,55,N/A
Brevin Jordan,HOU,TE,10,2,22,33.9,36.9,27.9,44,N/A
Brian Hoyer,LVR,QB,3,1,5,4.9,6.9,6.9,54,N/A
Brian Robinson Jr.,WAS,RB,13,13,147,176.0,183.0,161.5,10,38
Britain Covey,PHI,WR,13,0,N/A,0.0,N/A,N/A,202,N/A
Brock Purdy,SFO,QB,13,13,250,249.9,264.9,256.9,5,29
Brock Wright,DET,TE,13,3,15,28.1,28.1,21.6,58,N/A
Bryce Young,CAR,QB,12,12,120,119.8,139.8,128.8,26,N/A
Brycen Hopkins,LAR,TE,11,0,3,6.1,6.1,4.6,87,N/A
Byron Pringle,WAS,WR,13,1,14,26.6,30.6,20.1,133,N/A
C.J. Beathard,JAX,QB,5,0,4,3.6,3.6,3.6,57,N/A
C.J. Ham,MIN,FB,13,4,3,8.6,8.6,5.6,116,N/A
C.J. Stroud,HOU,QB,13,13,242,242.5,257.5,247.0,6,40
C.J. Uzomah,NYJ,TE,12,8,12,19.8,19.8,15.8,67,N/A
Cade Otton,TAM,TE,13,13,60,100.4,104.4,80.4,15,N/A
Calvin Austin,PIT,WR,13,1,28,45.2,48.2,36.7,102,N/A
Calvin Ridley,JAX,WR,13,13,110,164.7,167.7,137.2,24,63
Cam Akers,2TM,RB,7,1,36,46.7,49.7,41.2,58,N/A
Carson Wentz,LAR,QB,1,0,N/A,0.0,N/A,N/A,66,N/A
Cedric Tillman,CLE,WR,10,2,12,22.6,25.6,17.1,139,N/A
Cedrick Wilson Jr.,MIA,WR,11,0,32,46.1,49.1,39.1,95,N/A
CeeDee Lamb,DAL,WR,13,13,188,283.7,287.7,235.7,2,4
Charlie Jones,CIN,WR,7,0,7,7.6,7.6,7.1,155,N/A
Charlie Kolar,BAL,TE,11,1,1,2.3,2.3,1.8,96,N/A
Charlie Woerner,SFO,TE,13,1,1,3.2,3.2,2.2,98,N/A
Chase Brown,CIN,RB,8,0,24,29.9,29.9,26.9,71,N/A
Chase Claypool,2TM,WR,8,2,13,17.6,17.6,15.1,136,N/A
Chase Edmonds,TAM,RB,9,0,14,21.9,21.9,17.9,86,N/A
Chigoziem Okonkwo,TEN,TE,13,8,37,76.5,79.5,56.5,28,N/A
Chris Brooks,MIA,RB,6,0,9,9.4,9.4,9.4,94,N/A
Chris Conley,SFO,WR,4,0,N/A,0.0,N/A,N/A,200,N/A
Chris Evans,CIN,RB,8,0,1,2.1,2.1,1.6,131,N/A
Chris Godwin,TAM,WR,13,13,83,141.2,144.2,112.2,41,N/A
Chris Manhertz,DEN,TE,13,4,2,3.6,3.6,2.6,95,N/A
Chris Moore,TEN,WR,13,4,35,49.3,52.3,42.3,86,N/A
Chris Olave,NOR,WR,13,10,116,187.8,190.8,151.8,20,49
Chris Rodriguez,WAS,RB,11,0,14,14.9,18.9,14.4,87,N/A
Christian Kirk,JAX,WR,12,12,93,150.3,155.3,121.8,36,N/A
Christian McCaffrey,SFO,RB,13,13,259,311.4,319.4,285.4,1,1
Christian Watson,GNB,WR,9,9,73,101.3,104.3,87.3,46,N/A
Chuba Hubbard,CAR,RB,13,8,106,135.8,141.8,120.8,28,N/A
Clayton Tune,ARI,QB,4,1,7,7.4,10.4,9.4,51,N/A
Clyde Edwards-Helaire,KAN,RB,12,2,31,40.2,43.2,35.7,63,N/A
Cody Thompson,SEA,WR,7,0,1,2.0,2.0,1.5,186,N/A
Colby Parkinson,SEA,TE,13,1,24,39.8,42.8,31.8,40,N/A
Cole Kmet,CHI,TE,13,13,85,146.0,149.0,115.5,9,47
Cole Turner,WAS,TE,11,1,12,23.0,26.0,17.5,66,N/A
Colton Dowell,TEN,WR,7,0,N/A,0.0,N/A,N/A,207,N/A
Connor Heyward,PIT,TE,13,3,16,37.3,40.3,26.8,54,N/A
Cooper Kupp,LAR,WR,9,9,75,115.7,118.7,95.2,45,N/A
Cooper Rush,DAL,QB,6,0,2,2.1,3.1,3.1,61,N/A
Cordarrelle Patterson,ATL,RB,10,0,17,22.6,25.6,19.6,79,N/A
Corey Clement,ARI,RB,3,0,N/A,0.0,N/A,N/A,143,N/A
Courtland Sutton,DEN,WR,13,11,124,176.9,182.9,150.4,18,36
Craig Reynolds,DET,RB,13,0,25,29.6,34.6,27.1,68,N/A
Curtis Samuel,WAS,WR,12,9,71,121.8,124.8,96.3,49,N/A
D'Andre Swift,PHI,RB,13,12,131,167.0,174.0,149.0,20,65
D'Ernest Johnson,JAX,RB,13,0,24,34.2,40.2,29.2,70,N/A
D'Onta Foreman,CHI,RB,8,7,81,91.8,94.8,86.3,39,N/A
D'Wayne Eskridge,SEA,WR,4,0,1,0.5,0.5,0.5,189,N/A
D.J. Montgomery,IND,WR,3,0,N/A,0.0,N/A,N/A,219,N/A
D.J. Moore,CHI,WR,13,13,155,231.2,235.2,193.2,6,11
D.K. Metcalf,SEA,WR,12,12,128,179.4,182.4,153.9,14,30
DJ Chark,CAR,WR,11,7,53,77.5,80.5,65.0,64,N/A
DJ Turner,LVR,WR,6,0,N/A,0.0,N/A,N/A,227,N/A
Dak Prescott,DAL,QB,13,13,273,272.7,285.7,278.7,3,12
Dallas Goedert,PHI,TE,10,10,56,98.0,101.0,77.0,18,N/A
Dalton Keene,HOU,TE,1,0,N/A,0.0,N/A,N/A,115,N/A
Dalton Kincaid,BUF,TE,12,10,60,120.5,124.5,90.0,16,N/A
Dalton Schultz,HOU,TE,11,6,74,113.5,117.5,93.5,11,67
Dalvin Cook,NYJ,RB,13,1,24,38.2,43.2,31.2,69,N/A
Dameon Pierce,HOU,RB,10,7,60,70.7,73.7,65.2,44,N/A
Damien Harris,BUF,RB,6,0,17,19.0,19.0,18.0,78,N/A
Damien Williams,ARI,RB,3,0,6,7.5,7.5,6.5,107,N/A
Damiere Byrd,ATL,WR,1,0,N/A,0.0,N/A,N/A,196,N/A
Dan Chisena,ARI,WR,1,0,N/A,0.0,N/A,N/A,199,N/A
Daniel Bellinger,NYG,TE,13,11,16,31.0,34.0,23.5,55,N/A
Daniel Jones,NYG,QB,6,6,57,57.0,70.0,63.0,37,N/A
Dare Ogunbowale,HOU,RB,8,0,6,8.0,5.0,7.0,106,N/A
Dareke Young,SEA,WR,2,0,N/A,0.0,N/A,N/A,232,N/A
Darius Slayton,NYG,WR,13,9,51,84.9,87.9,67.9,67,N/A
Darnell Mooney,CHI,WR,13,13,46,73.0,76.0,59.5,74,N/A
Darnell Washington,PIT,TE,13,6,5,11.3,11.3,8.3,80,N/A
Darrell Daniels,DET,TE,3,0,N/A,0.0,N/A,N/A,107,N/A
Darrell Henderson,LAR,RB,4,4,34,43.5,49.5,38.5,61,N/A
Darren Waller,NYG,TE,8,8,44,80.4,83.4,62.4,23,N/A
Darrynton Evans,2TM,RB,6,0,23,30.0,33.0,26.5,72,N/A
Davante Adams,LVR,WR,13,13,111,186.7,189.7,148.7,22,61
David Bell,CLE,WR,11,0,15,21.6,21.6,18.1,127,N/A
David Montgomery,DET,RB,10,10,148,159.6,166.6,153.6,9,34
David Moore,TAM,WR,3,0,1,2.1,2.1,1.6,185,N/A
David Njoku,CLE,TE,13,13,82,141.0,145.0,111.5,10,53
David Sills,DEN,WR,3,1,N/A,0.0,N/A,N/A,222,N/A
David Wells,TAM,TE,4,0,-1,1.0,1.0,N/A,133,N/A
Davis Allen,LAR,TE,11,0,12,16.6,16.6,14.1,68,N/A
Davis Mills,HOU,QB,3,0,1,1.0,1.0,1.0,64,N/A
Dawson Knox,BUF,TE,8,8,22,39.8,42.8,30.8,46,N/A
De'Von Achane,MIA,RB,7,2,123,140.6,147.6,131.6,24,N/A
DeAndre Carter,LVR,WR,13,1,5,8.4,8.4,6.9,162,N/A
DeAndre Hopkins,TEN,WR,13,13,127,183.7,186.7,155.2,15,31
DeVante Parker,NWE,WR,9,9,26,48.4,51.4,37.4,105,N/A
DeVonta Smith,PHI,WR,13,13,125,193.7,197.7,159.2,17,35
DeeJay Dallas,SEA,RB,13,0,2,8.0,10.0,5.0,122,N/A
Deebo Samuel,SFO,WR,11,11,144,189.0,195.0,166.5,9,19
Demarcus Robinson,LAR,WR,12,0,27,39.3,42.3,33.3,104,N/A
Demario Douglas,NWE,WR,10,4,42,77.9,81.9,59.9,77,N/A
Deneric Prince,KAN,RB,1,0,N/A,0.0,N/A,N/A,156,N/A
Deon Jackson,3TM,RB,4,1,-1,4.0,6.0,1.5,162,N/A
Deonte Harty,BUF,WR,12,1,20,33.8,36.8,26.8,117,N/A
Derek Carr,NOR,QB,13,13,153,153.1,166.1,160.1,21,N/A
Derius Davis,LAC,WR,13,0,18,29.8,29.8,23.8,122,N/A
Derrick Gore,WAS,RB,3,0,2,2.3,2.3,2.3,117,N/A
Derrick Henry,TEN,RB,13,13,172,194.8,200.8,183.3,4,16
Deshaun Watson,CLE,QB,6,6,87,86.8,98.8,90.8,30,N/A
Desmond Ridder,ATL,QB,12,11,154,154.9,175.9,163.4,20,N/A
Deuce Vaughn,DAL,RB,6,0,7,12.8,12.8,9.8,101,N/A
Deven Thompkins,TAM,WR,13,1,18,32.9,33.9,25.4,121,N/A
Devin Duvernay,BAL,WR,13,1,3,7.3,7.3,5.3,171,N/A
Devin Singletary,HOU,RB,13,6,93,111.9,117.9,102.4,32,N/A
Devine Ozigbo,DET,RB,3,0,1,2.3,2.3,1.8,127,N/A
Devon Allen,PHI,WR,2,0,N/A,0.0,N/A,N/A,193,N/A
Dez Fitzpatrick,PIT,WR,1,0,N/A,0.0,N/A,N/A,209,N/A
Diontae Johnson,PIT,WR,9,9,66,102.5,105.5,84.0,52,N/A
Donald Parham,LAC,TE,13,8,44,66.2,69.2,55.2,24,N/A
Donovan Peoples-Jones,2TM,WR,11,5,11,20.4,23.4,15.9,142,N/A
Dontayvion Wicks,GNB,WR,12,3,44,69.1,73.1,56.6,76,N/A
Dorian Thompson-Robinson,CLE,QB,6,3,20,20.2,27.2,24.2,46,N/A
Drake London,ATL,WR,12,12,89,145.4,148.4,117.4,37,N/A
Drew Lock,SEA,QB,3,1,17,17.0,23.0,20.0,48,N/A
Drew Sample,CIN,TE,13,6,22,35.7,35.7,28.7,48,N/A
Durham Smythe,MIA,TE,12,11,19,39.4,42.4,29.4,52,N/A
Dwayne Washington,DEN,RB,11,0,N/A,0.0,N/A,N/A,160,N/A
Dyami Brown,WAS,WR,13,1,23,34.8,37.8,28.8,111,N/A
Dylan Drummond,DET,WR,1,0,N/A,0.0,N/A,N/A,208,N/A
Easop Winston,SEA,WR,1,0,N/A,0.0,N/A,N/A,231,N/A
Easton Stick,LAC,QB,1,0,5,5.2,6.2,5.2,53,N/A
Elijah Cooks,JAX,WR,5,0,N/A,0.0,N/A,N/A,201,N/A
Elijah Dotson,LAC,RB,4,0,2,3.9,3.9,2.9,123,N/A
Elijah Higgins,ARI,TE,7,1,5,8.9,8.9,6.9,82,N/A
Elijah Mitchell,SFO,RB,9,0,15,18.8,21.8,16.8,85,N/A
Elijah Moore,CLE,WR,13,8,57,107.4,112.4,82.4,56,N/A
Emanuel Wilson,GNB,RB,7,0,11,14.8,14.8,12.8,90,N/A
Emari Demercado,ARI,RB,10,2,33,45.4,48.4,39.4,62,N/A
Equanimeous St. Brown,CHI,WR,5,0,4,8.4,8.4,6.4,167,N/A
Eric Gray,NYG,RB,9,0,3,3.8,3.8,3.3,115,N/A
Eric Saubert,2TM,TE,6,0,1,1.5,1.5,1.0,99,N/A
Erik Ezukanma,MIA,WR,2,0,2,2.2,2.2,2.2,177,N/A
Evan Engram,JAX,TE,13,12,86,170.1,174.1,128.1,8,44
Evan Hull,IND,RB,1,0,1,1.7,1.7,1.2,134,N/A
Ezekiel Elliott,NWE,RB,13,1,88,119.3,126.3,103.8,34,N/A
Foster Moreau,NOR,TE,11,7,21,36.1,39.1,28.6,50,N/A
Frank Darby,ATL,WR,1,0,N/A,0.0,N/A,N/A,203,N/A
Gabriel Davis,BUF,WR,13,13,95,134.3,138.3,114.8,35,N/A
Gardner Minshew II,IND,QB,13,9,145,144.7,160.7,152.7,24,N/A
Garrett Wilson,NYJ,WR,13,13,100,176.2,181.2,138.2,28,75
Gary Brightwell,NYG,RB,7,0,7,11.6,11.6,9.1,103,N/A
Geno Smith,SEA,QB,12,12,172,172.7,186.7,181.2,18,N/A
Geoff Swaim,ARI,TE,13,7,7,15.8,15.8,11.3,75,N/A
George Kittle,SFO,TE,13,13,117,170.3,173.3,143.8,2,15
George Pickens,PIT,WR,13,13,96,145.2,148.2,120.7,33,N/A
Gerald Everett,LAC,TE,11,8,48,81.7,84.7,64.7,22,N/A
Giovanni Ricci,CAR,FB,5,0,N/A,1.2,1.2,0.7,137,N/A
Godwin Igwebuike,2TM,RB,8,0,N/A,0.0,N/A,N/A,149,N/A
Grant Calcaterra,PHI,TE,11,1,N/A,0.0,N/A,N/A,104,N/A
Greg Dortch,ARI,WR,12,1,18,29.4,32.4,23.9,119,N/A
Greg Dulcich,DEN,TE,2,1,3,5.5,5.5,4.0,91,N/A
Gunner Olszewski,2TM,WR,8,0,-4,-3.0,-1.0,-3.5,235,N/A
Gus Edwards,BAL,RB,13,7,136,145.5,151.5,140.5,17,57
Harrison Bryant,CLE,TE,13,7,23,32.9,33.9,27.9,42,N/A
Hayden Hurst,CAR,TE,9,8,24,42.4,45.4,33.4,38,N/A
Henry Pearson,GNB,FB,2,0,N/A,0.0,N/A,N/A,155,N/A
Hunter Henry,NWE,TE,13,10,65,100.3,103.3,82.8,14,N/A
Hunter Kampmoyer,LAC,TE,1,0,N/A,0.0,N/A,N/A,114,N/A
Hunter Long,LAR,TE,4,1,N/A,0.0,N/A,N/A,118,N/A
Hunter Luepke,DAL,RB,13,0,8,10.3,10.3,9.3,97,N/A
Hunter Renfrow,LVR,WR,13,3,24,48.5,52.5,36.0,110,N/A
Ian Thomas,CAR,TE,9,5,5,9.1,9.1,7.1,81,N/A
Ihmir Smith-Marsette,CAR,WR,13,0,8,9.4,9.4,8.9,149,N/A
Irv Smith Jr.,CIN,TE,11,6,14,29.7,30.7,21.7,62,N/A
Irvin Charles,NYJ,WR,8,0,N/A,0.0,N/A,N/A,198,N/A
Isaiah Hodgins,NYG,WR,13,8,34,50.6,54.6,42.1,90,N/A
Isaiah Likely,BAL,TE,13,6,27,45.2,48.2,36.2,34,N/A
Isaiah McKenzie,IND,WR,13,2,6,16.6,18.6,11.1,161,N/A
Isaiah Spiller,LAC,RB,6,0,7,9.6,9.6,8.1,104,N/A
Isiah Pacheco,KAN,RB,12,11,141,173.8,179.8,157.3,12,46
Israel Abanikanda,NYJ,RB,2,0,2,2.5,2.5,2.0,125,N/A
J.K. Dobbins,BAL,RB,1,1,10,11.7,11.7,10.7,93,N/A
J.P. Holtz,NOR,TE,1,0,N/A,0.0,N/A,N/A,112,N/A
Ja'Marr Chase,CIN,WR,13,13,150,239.3,242.3,194.8,7,13
Jack Stoll,PHI,TE,13,8,3,6.7,6.7,4.7,90,N/A
Jacob Harris,JAX,WR,2,0,N/A,0.0,N/A,N/A,210,N/A
Jacoby Brissett,WAS,QB,1,0,N/A,0.0,N/A,N/A,70,N/A
Jaelon Darden,CLE,WR,1,0,N/A,0.0,N/A,N/A,204,N/A
Jahan Dotson,WAS,WR,13,12,70,113.8,116.8,91.8,50,N/A
Jahmyr Gibbs,DET,RB,11,3,134,179.0,185.0,156.5,19,60
Jake Bobo,SEA,WR,13,0,35,50.4,53.4,42.9,85,N/A
Jake Browning,CIN,QB,5,3,72,73.0,78.0,74.5,33,N/A
Jake Ferguson,DAL,TE,13,12,87,138.0,141.0,112.5,7,42
Jake Funk,IND,RB,4,0,2,3.2,3.2,2.7,118,N/A
Jakob Johnson,LVR,FB,9,3,1,2.2,2.2,1.7,128,N/A
Jakobi Meyers,LVR,WR,12,12,106,162.5,165.5,134.0,26,69
Jaleel McLaughlin,DEN,RB,13,1,60,81.7,84.7,70.7,43,N/A
Jalen Brooks,DAL,WR,5,0,6,11.3,11.3,8.8,156,N/A
Jalen Guyton,LAC,WR,5,2,12,18.8,18.8,15.3,137,N/A
Jalen Hurts,PHI,QB,13,13,292,291.7,312.7,301.7,2,6
Jalen Nailor,MIN,WR,6,1,3,5.9,5.9,4.4,175,N/A
Jalen Reagor,NWE,WR,7,1,3,6.3,6.3,4.8,172,N/A
Jalen Tolbert,DAL,WR,13,5,24,41.0,45.0,32.5,109,N/A
Jalin Hyatt,NYG,WR,13,4,34,53.3,56.3,43.8,88,N/A
Jamaal Williams,NOR,RB,9,2,22,31.4,34.4,26.9,73,N/A
Jamal Agnew,JAX,WR,8,1,7,15.8,16.8,11.3,154,N/A
Jameis Winston,NOR,QB,6,0,12,12.0,15.0,15.0,49,N/A
James Conner,ARI,RB,9,9,91,104.7,107.7,97.7,33,N/A
James Cook,BUF,RB,13,9,140,178.0,185.0,159.0,13,48
James Mitchell,DET,TE,11,0,N/A,0.0,N/A,N/A,122,N/A
James Proche,CLE,WR,6,0,-2,-2.0,-1.0,-2.0,234,N/A
James Robinson,GNB,RB,1,0,N/A,1.0,1.0,0.5,157,N/A
Jameson Williams,DET,WR,9,7,40,52.8,55.8,46.3,80,N/A
Jamison Crowder,WAS,WR,13,0,21,36.1,39.1,28.6,115,N/A
Jamycal Hasty,JAX,RB,3,0,N/A,0.0,N/A,N/A,146,N/A
Jared Goff,DET,QB,13,13,214,214.1,230.1,224.1,14,78
Jaren Hall,MIN,QB,2,1,3,3.0,4.0,3.0,60,N/A
Jashaun Corbin,NYG,RB,3,0,1,4.3,4.3,2.8,126,N/A
Jason Brownlee,NYJ,WR,4,2,2,4.0,4.0,3.0,179,N/A
Jason Cabinda,DET,FB,3,0,N/A,0.0,N/A,N/A,141,N/A
Jauan Jennings,SFO,WR,12,2,30,47.0,50.0,38.5,100,N/A
Javonte Williams,DEN,RB,12,11,103,135.0,141.0,119.0,30,N/A
Jaxon Smith-Njigba,SEA,WR,13,3,61,110.3,113.3,85.8,55,N/A
Jayden Reed,GNB,WR,13,11,110,157.9,163.9,133.9,23,62
Jaylen Waddle,MIA,WR,12,12,101,164.2,167.2,132.7,27,73
Jaylen Warren,PIT,RB,13,0,104,146.4,153.4,125.4,29,N/A
Jeff Wilson,MIA,RB,6,0,16,25.3,25.3,20.8,81,N/A
Jeremy McNichols,SFO,RB,1,0,N/A,0.0,N/A,N/A,152,N/A
Jeremy Ruckert,NYJ,TE,13,5,14,27.5,30.5,20.5,63,N/A
Jerick McKinnon,KAN,RB,11,0,46,68.2,71.2,57.2,55,N/A
Jerome Ford,CLE,RB,13,9,129,163.5,170.5,146.0,22,68
Jerry Jeudy,DEN,WR,12,8,57,98.7,101.7,77.7,57,N/A
Jesper Horsted,LVR,TE,12,0,N/A,1.4,1.4,0.9,100,N/A
Jimmy Garoppolo,LVR,QB,6,6,64,64.1,76.1,73.1,35,N/A
Jimmy Graham,NOR,TE,9,1,21,25.0,25.0,23.0,51,N/A
Joe Burrow,CIN,QB,10,10,147,147.2,157.2,153.2,23,N/A
Joe Flacco,CLE,QB,2,2,37,36.5,42.5,38.5,42,N/A
Joe Mixon,CIN,RB,13,13,158,199.5,205.5,178.5,6,26
John Bates,WAS,TE,13,3,13,28.1,31.1,20.6,64,N/A
John FitzPatrick,ATL,TE,8,0,N/A,0.0,N/A,N/A,110,N/A
John Metchie,HOU,WR,12,0,14,27.4,30.4,20.9,129,N/A
Johnny Mundt,MIN,TE,13,0,5,10.9,10.9,7.9,83,N/A
Jonathan Mingo,CAR,WR,12,11,38,73.7,76.7,55.7,84,N/A
Jonathan Taylor,IND,RB,7,5,85,101.1,107.1,93.1,36,N/A
Jonathan Ward,TEN,RB,3,0,N/A,0.0,N/A,N/A,159,N/A
Jonnu Smith,ATL,TE,13,4,56,97.0,101.0,76.5,19,N/A
Jordan Addison,MIN,WR,13,10,114,169.5,172.5,141.5,21,54
Jordan Akins,CLE,TE,13,4,5,13.4,13.4,9.4,79,N/A
Jordan Love,GNB,QB,13,13,231,230.7,248.7,241.7,10,58
Jordan Mason,SFO,RB,13,0,35,36.6,39.6,35.6,60,N/A
Jordan Matthews,CAR,TE,1,0,N/A,0.0,N/A,N/A,119,N/A
Jordan Mims,NOR,RB,1,0,N/A,0.0,N/A,N/A,153,N/A
Josh Allen,BUF,QB,13,13,307,307.3,330.3,321.3,1,5
Josh Downs,IND,WR,13,7,73,127.2,130.2,100.2,47,N/A
Josh Jacobs,LVR,RB,13,13,144,181.1,188.1,162.6,11,41
Josh Oliver,MIN,TE,13,10,22,37.8,41.8,29.8,47,N/A
Josh Palmer,LAC,WR,7,4,42,64.7,68.7,53.2,78,N/A
Josh Pederson,JAX,TE,2,0,N/A,0.0,N/A,N/A,124,N/A
Josh Reynolds,DET,WR,13,10,77,108.4,112.4,92.9,43,N/A
Josh Whyle,TEN,TE,11,3,15,24.4,24.4,19.9,57,N/A
Joshua Dobbs,2TM,QB,13,12,201,200.7,223.7,210.7,16,N/A
Joshua Kelley,LAC,RB,13,3,53,59.8,62.8,56.3,51,N/A
Josiah Deguara,GNB,TE,11,3,7,14.5,14.5,10.5,76,N/A
JuJu Smith-Schuster,NWE,WR,11,7,32,61.0,64.0,46.5,96,N/A
Julian Hill,MIA,TE,11,2,2,5.7,6.7,3.7,94,N/A
Julio Jones,PHI,WR,7,2,8,12.6,12.6,10.1,151,N/A
Julius Chestnut,TEN,RB,3,0,N/A,0.0,N/A,N/A,142,N/A
Justice Hill,BAL,RB,12,4,54,70.5,74.5,62.0,50,N/A
Justin Fields,CHI,QB,9,9,162,162.2,178.2,168.2,19,N/A
Justin Herbert,LAC,QB,13,13,233,234.2,248.2,240.7,9,55
Justin Jefferson,MIN,WR,6,5,76,113.8,117.8,94.8,44,N/A
Justin Watson,KAN,WR,12,5,45,66.0,70.0,55.5,75,N/A
Justyn Ross,KAN,WR,7,0,3,6.4,6.4,4.9,170,N/A
Juwan Johnson,NOR,TE,9,8,21,41.2,44.2,31.2,49,N/A
Juwann Winfree,IND,WR,7,1,N/A,0.0,N/A,N/A,230,N/A
K.J. Osborn,MIN,WR,12,11,55,95.3,98.3,75.3,60,N/A
KaVontae Turpin,DAL,WR,12,0,46,57.4,63.4,51.9,73,N/A
Kadarius Toney,KAN,WR,12,2,26,50.5,53.5,38.0,107,N/A
Kalif Raymond,DET,WR,13,3,51,80.4,83.4,65.9,66,N/A
Kareem Hunt,CLE,RB,11,2,84,95.3,98.3,89.8,37,N/A
Kayshon Boutte,NWE,WR,3,0,2,3.9,3.9,2.9,180,N/A
Ke'Shawn Vaughn,TAM,RB,6,0,4,6.4,6.4,5.4,109,N/A
Keaontay Ingram,ARI,RB,8,1,10,14.0,14.0,12.0,91,N/A
Kearis Jackson,TEN,WR,2,0,N/A,0.0,N/A,N/A,213,N/A
Keaton Mitchell,BAL,RB,7,1,52,59.1,62.1,55.6,52,N/A
Keelan Doss,LAC,WR,3,0,N/A,0.0,N/A,N/A,206,N/A
Keenan Allen,LAC,WR,13,13,171,278.9,282.9,224.9,3,7
Keith Kirkwood,NOR,WR,10,3,2,5.1,5.1,3.6,178,N/A
