Player,Tm,FantPos,G,GS,FantPt,PPR,DKPt,FDPt,PosRank,OvRank
A.J. Brown,PHI,WR,13,13,166,255.8,259.8,210.8,4,8
A.J. McCarron,CIN,QB,1,0,N/A,0.0,N/A,N/A,71,N/A
A.T. Perry,NOR,WR,6,2,18,22.9,25.9,20.4,120,N/A
AJ Dillon,GNB,RB,13,6,86,107.7,113.7,96.7,35,N/A
Aaron Jones,GNB,RB,7,7,57,76.4,83.4,66.9,48,N/A
Aaron Rodgers,NYJ,QB,1,1,N/A,0.0,N/A,N/A,65,N/A
Adam Prentice,NOR,FB,9,1,-1,0.0,1.0,-0.5,163,N/A
Adam Thielen,CAR,WR,13,13,109,194.3,197.3,151.8,25,64
Adam Trautman,DEN,TE,13,9,33,52.0,55.0,42.5,31,N/A
Aidan O'Connell,LVR,QB,7,6,60,59.7,71.7,66.7,36,N/A
Albert Okwuegbunam,PHI,TE,4,0,N/A,0.0,N/A,N/A,123,N/A
Alec Ingold,MIA,FB,13,10,9,18.9,18.9,13.9,95,N/A
Alec Pierce,IND,WR,13,13,47,74.3,77.3,60.8,71,N/A
Alex Armah,WAS,RB,4,0,N/A,2.3,2.3,1.3,135,N/A
Alex Erickson,LAC,WR,4,2,6,10.1,10.1,8.1,158,N/A
Alexander Mattison,MIN,RB,13,13,97,124.4,132.4,110.9,31,N/A
Allen Lazard,NYJ,WR,12,11,35,55.0,58.0,45.0,87,N/A
Allen Robinson,PIT,WR,13,13,23,49.5,52.5,36.0,112,N/A
Alvin Kamara,NOR,RB,10,10,139,201.6,207.6,170.1,14,51
Amari Cooper,CLE,WR,13,13,98,154.6,158.6,126.1,31,N/A
Amari Rodgers,IND,WR,3,0,N/A,0.0,N/A,N/A,221,N/A
Ameer Abdullah,LVR,RB,13,0,13,27.4,27.4,20.4,88,N/A
Amon-Ra St. Brown,DET,WR,12,12,142,228.6,232.6,185.1,10,21
Andre Baccellia,ARI,WR,5,0,N/A,0.0,N/A,N/A,194,N/A
