Player,PPR,storage
A.J. Brown,223.0,223.0
A.J. Green,39.8,39.8
AJ Dillon ,119.3,119.3
Aaron Jones,201.5,201.5
Aaron Rodgers,187.3,187.3
Adam Prentice,1.4,1.4
Adam Thielen,153.5,153.5
Adam Trautman,39.3,39.3
Albert Okwuegbunam,12.0,12.0
Alec Ingold,36.4,36.4
Alec Pierce,95.0,95.0
Alex Armah,0.0,0.0
Alex Erickson,0.0,0.0
Alexander Mattison,62.1,62.1
Allen Lazard ,137.0,137.0
Allen Robinson,84.9,84.9
Alvin Kamara,159.3,159.3
Amari Cooper,190.4,190.4
Amari Rodgers,21.0,21.0
Ameer Abdullah,44.0,44.0
Amon-Ra St. Brown,216.7,216.7
Andre Baccellia,8.2,8.2
Andre Roberts,0.0,0.0
Andrew Beck,8.8,8.8
Andy Dalton,141.5,141.5
Andy Isabella,4.1,4.1
Anthony Brown,0.1,0.1
Anthony Firkser,13.9,13.9
Anthony McFarland Jr.,6.1,6.1
Anthony Schwartz,18.8,18.8
Antonio Gibson ,156.1,156.1
Antonio Williams,0.0,0.0
Armani Rogers,13.8,13.8
Ashton Dulin,37.5,37.5
Austin Ekeler,292.7,292.7
Austin Hooper,78.7,78.7
Austin Trammell,3.3,3.3
Bailey Zappe,39.6,39.6
Baker Mayfield,87.9,87.9
Ben Ellefson,5.6,5.6
Ben Skowronek,83.0,83.0
Benny Snell Jr.,18.7,18.7
Boston Scott,34.2,34.2
Brandin Cooks,102.7,102.7
Brandon Aiyuk,174.2,174.2
Brandon Allen,0.8,0.8
Brandon Bolden,24.1,24.1
Brandon Johnson,10.2,10.2
Brandon Powell,36.8,36.8
Brandon Zylstra,0.0,0.0
Braxton Berrios,51.9,51.9
Braylon Sanders,1.7,1.7
Breece Hall,115.1,115.1
Breshad Perriman,21.4,21.4
Brett Rypien,10.5,10.5
Brevin Jordan,17.8,17.8
Brian Hoyer,1.5,1.5
Brian Robinson Jr.,86.5,86.5
Brock Purdy,36.9,36.9
Brock Wright,33.1,33.1
Bryan Edwards,4.5,4.5
Bryce Perkins,15.6,15.6
Brycen Hopkins,6.1,6.1
Byron Pringle,16.7,16.7
C.J. Beathard,0.1,0.1
C.J. Board,1.6,1.6
C.J. Ham,13.6,13.6
C.J. Uzomah,28.7,28.7
Cade Otton,81.7,81.7
Caleb Huntley,44.7,44.7
Cam Akers,63.5,63.5
Cam Sims,14.3,14.3
Cameron Brate,32.9,32.9
Carson Wentz,97.5,97.5
Case Keenum,0.3,0.3
Cedrick Wilson Jr.,23.3,23.3
CeeDee Lamb,210.7,210.7
Cethan Carter,0.0,0.0
Chad Henne,-0.3,-0.3
Charlie Woerner,0.0,0.0
Chase Claypool,100.1,100.1
Chase Daniel,0.0,0.0
Chase Edmonds,52.1,52.1
Chester Rogers,-2.0,-2.0
Chigoziem Okonkwo,66.6,66.6
Chris Conley,3.7,3.7
Chris Evans,12.8,12.8
Chris Godwin,155.7,155.7
Chris Manhertz,10.2,10.2
Chris Moore,93.3,93.3
Chris Myarick,19.5,19.5
Chris Olave,166.7,166.7
Christian Kirk,195.1,195.1
Christian McCaffrey,268.6,268.6
